gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
932843735	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Coprosma	Coprosma lucida		SPECIES	Coprosma grandifolia Hook.f.	Coprosma grandifolia		NZ	Lake Waikaremoana, Te Urewera NP		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	-38.749798	177.08313	250.0						1992-01-12T00:00	12	1	1992	2911563	7679994	HUMAN_OBSERVATION	naturgucker	naturgucker	-438650899				CC_BY_4_0		-262660594			2024-03-15T23:20:48.888Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID
607561459	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p03980656	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Coprosma	Coprosma lucida		SPECIES	Coprosma grandifolia Hook.f.	Coprosma grandifolia Hook.f.	Hook.f.				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													2911563	7679994	PRESERVED_SPECIMEN	MNHN	P	P03980656				CC_BY_4_0					2024-05-15T15:05:49.125Z	StillImage	
607561458	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p03980657	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Coprosma	Coprosma lucida		SPECIES	Coprosma grandifolia Hook.f.	Coprosma grandifolia Hook.f.	Hook.f.				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													2911563	7679994	PRESERVED_SPECIMEN	MNHN	P	P03980657				CC_BY_4_0					2024-05-15T15:05:24.857Z	StillImage	
607561457	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p03980658	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Coprosma	Coprosma lucida		SPECIES	Coprosma grandifolia Hook.f.	Coprosma grandifolia Hook.f.	Hook.f.				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													2911563	7679994	PRESERVED_SPECIMEN	MNHN	P	P03980658				CC_BY_4_0					2024-05-15T15:05:44.898Z	StillImage	
607561456	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p03980659	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Coprosma	Coprosma lucida		SPECIES	Coprosma grandifolia Hook.f.	Coprosma grandifolia Hook.f.	Hook.f.				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													2911563	7679994	PRESERVED_SPECIMEN	MNHN	P	P03980659				CC_BY_4_0					2024-05-15T15:05:24.487Z	StillImage	
607561455	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p03980660	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Coprosma	Coprosma lucida		SPECIES	Coprosma grandifolia Hook.f.	Coprosma grandifolia Hook.f.	Hook.f.				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													2911563	7679994	PRESERVED_SPECIMEN	MNHN	P	P03980660				CC_BY_4_0					2024-05-15T15:05:24.857Z	StillImage	
575040619	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	https://data.rbge.org.uk/herb/E00092193	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Coprosma	Coprosma lucida		SPECIES	Coprosma grandifolia Hook.f.	Coprosma grandifolia Hook.f.		NZ	New Zealand		PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862	-37.131389	175.215			90.0	0.0			1998-02-01	1	2	1998	2911563	7679994	PRESERVED_SPECIMEN	E	E	E00092193	107			CC0_1_0					2024-05-16T12:35:58.431Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
574830213	7adf20e0-c955-11de-95c0-b8a03c50a862	http://data.rbge.org.uk/living/19981011	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Coprosma	Coprosma lucida		SPECIES	Coprosma grandifolia Hook.f.	Coprosma grandifolia Hook.f.		NZ	Workman Road	North Is	PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862	-37.131389	175.215			90.0	0.0			1998-02-01	1	2	1998	2911563	7679994	LIVING_SPECIMEN	E	E	19981011	107			CC_BY_NC_4_0		Edinburgh New Zealand & Australia Expedition (1998)			2024-05-12T20:47:13.252Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
574751409	7adf20e0-c955-11de-95c0-b8a03c50a862	http://data.rbge.org.uk/living/19901569	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Coprosma	Coprosma lucida		SPECIES	Coprosma grandifolia Hook.f.	Coprosma grandifolia Hook.f.		NZ	Motorau Moana Garden, in middle of indigenous shrub cover 1.5 km N of Half Moon Bay	Stewart Is	PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862					25.0	0.0			1990-03-26	26	3	1990	2911563	7679994	LIVING_SPECIMEN	E	E	19901569	1049			CC_BY_NC_4_0		Howick, Charles & Darby			2024-05-12T20:47:18.882Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY
574665507	7adf20e0-c955-11de-95c0-b8a03c50a862	http://data.rbge.org.uk/living/19901615	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Coprosma	Coprosma lucida		SPECIES	Coprosma grandifolia Hook.f.	Coprosma grandifolia Hook.f.		NZ	West Coast, Paparoa National Park, in narrow E/W river gorge up Bullock Creek	South Is	PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862					20.0	0.0			1990-03-11	11	3	1990	2911563	7679994	LIVING_SPECIMEN	E	E	19901615	1179			CC_BY_NC_4_0		Howick & Darby			2024-05-12T20:47:18.447Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY
