"","Name","ID","NROW","time"
"1",NA,0,0,2026-05-15 11:49:47.938446
"2","Turdus nigriceps",119,2842,2026-05-15 11:58:07.367286
"3","Spindalis portoricensis",91,15693,2026-05-15 12:06:24.001755
"4","Turdus flavipes",114,18034,2026-05-15 12:14:37.792235
"5","Pipraeidea melanonota",74,24374,2026-05-15 12:23:08.215571
"6","Thalurania glaucopis",139,35314,2026-05-15 12:32:21.975166
"7","Vireo altiloquus",130,21303,2026-05-15 12:41:48.563847
"8","Tangara cayana",101,53538,2026-05-15 12:51:22.966487
"9","Tachyphonus rufus",100,74184,2026-05-15 13:02:07.177467
"10","Myiodynastes maculatus",56,122951,2026-05-15 13:13:05.969528
"11","Pycnonotus barbatus",80,161424,2026-05-15 13:26:33.435053
"12","Tityra semifasciata",109,158037,2026-05-15 13:38:56.117776
"13","Turdus rufiventris",122,205102,2026-05-15 13:52:55.251034
"14","Thraupis palmarum",106,358909,2026-05-15 14:09:38.228174
"15","Melanerpes aurifrons",48,476578,2026-05-15 14:32:49.439221
"16","Thraupis episcopus",105,586981,2026-05-15 14:59:50.157131
"17","Parus palustris",66,893916,2026-05-15 15:32:16.92181
"18","Sylvia borin",94,752417,2026-05-15 16:10:15.485225
"19","Parus ater",61,1244956,2026-05-15 16:59:27.096356
"20","Sitta europaea",90,2168286,2026-05-15 17:56:20.931726
