"","Name","ID","NROW","time"
"1",NA,0,0,2026-05-18 09:06:35.297873
"2","Erithacus rubecula",32,4706071,2026-05-18 09:53:23.865457
"3","Fringilla coelebs",37,5334066,2026-05-18 10:39:12.392601
"4","Garrulus glandarius",38,2454043,2026-05-18 11:04:19.500577
"5","Icterus cayanensis",40,9568,2026-05-18 11:12:43.208792
"6","Icterus galbula",41,2188030,2026-05-18 11:30:07.044693
"7","Parus caeruleus",62,4920199,2026-05-18 12:10:39.636838
"8","Parus major",64,6251521,2026-05-18 13:01:39.986947
"9","Phylloscopus trochilus",72,1731904,2026-05-18 13:25:27.482577
"10","Pica pica",73,4227168,2026-05-18 14:00:01.082864
"11","Quiscalus mexicanus",85,1747894,2026-05-18 14:17:16.739923
