"TraitName","TraitID","AccSpeciesName","UnitName","meanMeasure","nmeasures"
"Fruit length",918,"Abarema jupunba","mm",NA,8
"Fruit length",918,"Abatia parviflora","mm",3.586666667,1
"Fruit length",918,"Abies mariesii","mm",8,1
"Fruit length",918,"Abies veitchii","mm",6,1
"Fruit length",918,"Acacia abbreviata","mm",45,1
"Fruit length",918,"Acacia abrupta","mm",50,1
"Fruit length",918,"Acacia aculeiformis","mm",NA,1
"Fruit length",918,"Acacia amentifera","mm",NA,1
"Fruit length",918,"Acacia amyctica","mm",60,1
"Fruit length",918,"Acacia arbiana","mm",45,1
"Fruit length",918,"Acacia auripila","mm",65,1
"Fruit length",918,"Acacia benthamii","mm",NA,1
"Fruit length",918,"Acanthocarpus canaliculatus","mm",3.5,1
"Fruit length",918,"Acanthocarpus humilis","mm",4.5,1
"Fruit length",918,"Acanthocarpus parviflorus","mm",4.5,1
"Fruit length",918,"Acanthocarpus preissii","mm",6.5,1
"Fruit length",918,"Acanthocarpus robustus","mm",6.5,1
"Fruit length",918,"Acanthocarpus rupestris","mm",4.25,1
"Fruit length",918,"Acanthocarpus verticillatus","mm",6,1
"Fruit length",918,"Acanthophoenix crinita","mm",6.5,4
"Fruit length",918,"Acanthophoenix rousselii","mm",20,2
"Fruit length",918,"Acanthophoenix rubra","mm",10,2
"Fruit length",918,"Acer micranthum","mm",15,1
"Fruit length",918,"Acer morifolium","mm",15,1
"Fruit length",918,"Acer pictum","mm",23,1
"Fruit length",918,"Acoelorraphe wrightii","mm",7,2
"Fruit length",918,"Acrocomia aculeata","mm",39.7633333333333,13
"Fruit length",918,"Acrocomia crispa","mm",25,2
"Fruit length",918,"Acrocomia emensis","mm",20,2
"Fruit length",918,"Acrocomia hassleri","mm",22.5,4
"Fruit length",918,"Acrocomia intumescens","mm",46,4
"Fruit length",918,"Acrocomia totai","mm",30,4
"Fruit length",918,"Actinodaphne longifolia","mm",15,1
"Fruit length",918,"Actinokentia divaricata","mm",26,4
"Fruit length",918,"Actinokentia huerlimannii","mm",30,2
"Fruit length",918,"Actinorhytis calapparia","mm",100,2
"Fruit length",918,"Adenanthera abrosperma","mm",150,1
"Fruit length",918,"Adenocalymma allamandiflorum","mm",NA,1
"Fruit length",918,"Adenocalymma flaviflorum","mm",NA,4
"Fruit length",918,"Adenocalymma magnificum","mm",183.52,1
"Fruit length",918,"Adenocalymma tanaeciicarpum","mm",103.323333333333,3
"Fruit length",918,"Adonidia maturbongsii","mm",23,2
"Fruit length",918,"Adonidia merrillii","mm",25,2
"Fruit length",918,"Aegiphila racemosa","mm",14.2125806451613,31
"Fruit length",918,"Agastachys odorata","mm",4,1
"Fruit length",918,"Ailanthus triphysa","mm",62.5,1
"Fruit length",918,"Aiphanes acanthophylla","mm",14,2
"Fruit length",918,"Aiphanes acaulis","mm",10,2
"Fruit length",918,"Aiphanes bicornis","mm",6,2
"Fruit length",918,"Aiphanes chiribogensis","mm",11,2
"Fruit length",918,"Aiphanes deltoidea","mm",13,2
"Fruit length",918,"Aiphanes duquei","mm",10.5,4
"Fruit length",918,"Aiphanes eggersii","mm",17.5,2
"Fruit length",918,"Aiphanes erinacea","mm",7.5,2
"Fruit length",918,"Aiphanes gelatinosa","mm",15,2
"Fruit length",918,"Aiphanes graminifolia","mm",5,2
"Fruit length",918,"Aiphanes grandis","mm",21.5,2
"Fruit length",918,"Aiphanes hirsuta","mm",13.5,2
"Fruit length",918,"Aiphanes horrida","mm",19.5,4
"Fruit length",918,"Aiphanes lindeniana","mm",15,2
"Fruit length",918,"Aiphanes linearis","mm",45,2
"Fruit length",918,"Aiphanes macroloba","mm",10,2
"Fruit length",918,"Aiphanes minima","mm",14,4
"Fruit length",918,"Aiphanes multiplex","mm",16,2
"Fruit length",918,"Aiphanes parvifolia","mm",8.5,4
"Fruit length",918,"Aiphanes pilaris","mm",47,2
"Fruit length",918,"Aiphanes simplex","mm",9,2
"Fruit length",918,"Aiphanes spicata","mm",10,2
"Fruit length",918,"Aiphanes tricuspidata","mm",7.5,2
"Fruit length",918,"Aiphanes ulei","mm",7,2
"Fruit length",918,"Aiphanes verrucosa","mm",22.5,2
"Fruit length",918,"Aiphanes weberbaueri","mm",8.5,2
"Fruit length",918,"Akania bidwillii","mm",25,1
"Fruit length",918,"Alangium villosum","mm",20,1
"Fruit length",918,"Alania cunninghamii","mm",2.75,1
"Fruit length",918,"Albizia canescens","mm",290,1
"Fruit length",918,"Albizia procera","mm",175,1
"Fruit length",918,"Alectryon connatum","mm",10,1
"Fruit length",918,"Alectryon coriaceus","mm",9,1
"Fruit length",918,"Alectryon forsythii","mm",8,1
"Fruit length",918,"Alectryon kimberleyanus","mm",11,1
"Fruit length",918,"Alectryon repandodentatus","mm",7,1
"Fruit length",918,"Alectryon subcinereum","mm",9,1
"Fruit length",918,"Alectryon subdentatum","mm",10,1
"Fruit length",918,"Alectryon tomentosum","mm",10,1
"Fruit length",918,"Alectryon unilobatus","mm",12,1
"Fruit length",918,"Aleurites cordata","mm",23,1
"Fruit length",918,"Alexa grandiflora","mm",138.585,10
"Fruit length",918,"Alibertia edulis","mm",31.05,6
"Fruit length",918,"Alibertia sorbilis","mm",31.7571428571429,8
"Fruit length",918,"Allagoptera arenaria","mm",16,4
"Fruit length",918,"Allagoptera brevicalyx","mm",17.5,4
"Fruit length",918,"Allagoptera campestris","mm",13.5,4
"Fruit length",918,"Allagoptera caudescens","mm",42.5,4
"Fruit length",918,"Allagoptera leucocalyx","mm",26.5,4
"Fruit length",918,"Allocasuarina acuaria","mm",6,1
"Fruit length",918,"Allocasuarina acutivalvis","mm",9,1
"Fruit length",918,"Allocasuarina brachystachya","mm",3.25,1
"Fruit length",918,"Allocasuarina campestris","mm",7.35,1
"Fruit length",918,"Allocasuarina corniculata","mm",3.5,1
"Fruit length",918,"Allocasuarina crassa","mm",6.5,1
"Fruit length",918,"Allocasuarina decaisneana","mm",12.75,1
"Fruit length",918,"Allocasuarina decussata","mm",8,1
"Fruit length",918,"Allocasuarina defungens","mm",3,1
"Fruit length",918,"Allocasuarina dielsiana","mm",9,1
"Fruit length",918,"Allocasuarina diminuta","mm",4.25,1
"Fruit length",918,"Allocasuarina distyla","mm",6,1
"Fruit length",918,"Allocasuarina drummondiana","mm",3.5,1
"Fruit length",918,"Allocasuarina emuina","mm",6,1
"Fruit length",918,"Allocasuarina eriochlamys","mm",7.75,1
"Fruit length",918,"Allocasuarina fibrosa","mm",6.5,1
"Fruit length",918,"Allocasuarina filidens","mm",7.75,1
"Fruit length",918,"Allocasuarina fraseriana","mm",9.5,1
"Fruit length",918,"Allophylus cobbe","mm",5.5,1
"Fruit length",918,"Alloxylon flammeum","mm",8.5,1
"Fruit length",918,"Alloxylon pinnatum","mm",7,1
"Fruit length",918,"Alloxylon wickhamii","mm",8.75,1
"Fruit length",918,"Alnus acuminata","mm",26.18333333,1
"Fruit length",918,"Alphonsea boniana","mm",50,1
"Fruit length",918,"Alphonsea elliptica","mm",58,3
"Fruit length",918,"Alphonsea kinabaluensis","mm",28.3333333333333,3
"Fruit length",918,"Alpinia arctiflora","mm",37.5,1
"Fruit length",918,"Amanoa guianensis","mm",11.6498113207547,53
"Fruit length",918,"Ambavia gerrardii","mm",20,1
"Fruit length",918,"Ambelania acida","mm",57.0746153846154,13
"Fruit length",918,"Ammandra decasperma","mm",100,2
"Fruit length",918,"Ampelocera edentula","mm",18.1,24
"Fruit length",918,"Ampelocera hottlei","mm",15,1
"Fruit length",918,"Amylotheca subumbellata","mm",NA,1
"Fruit length",918,"Anacardium giganteum","mm",45.15,2
"Fruit length",918,"Anacardium spruceanum","mm",37.6166666666667,6
"Fruit length",918,"Anaxagorea javanica","mm",34.5,3
"Fruit length",918,"Anaxagorea luzonensis","mm",26,3
"Fruit length",918,"Anaxagorea phaeocarpa","mm",32,3
"Fruit length",918,"Anaxagorea silvatica","mm",14.5,2
"Fruit length",918,"Andira surinamensis","mm",46.9275,20
"Fruit length",918,"Annickia chlorantha","mm",13,3
"Fruit length",918,"Annickia kummeriae","mm",22,1
"Fruit length",918,"Annickia pilosa","mm",23.5,3
"Fruit length",918,"Annona deceptrix","mm",155,1
"Fruit length",918,"Annona densicoma","mm",68.54,2
"Fruit length",918,"Annona edulis","mm",77,3
"Fruit length",918,"Annona exsucca","mm",48.9,1
"Fruit length",918,"Annona glabra","mm",67.8333333333333,6
"Fruit length",918,"Annona herzogii","mm",20,3
"Fruit length",918,"Annona hypoglauca","mm",33.84,2
"Fruit length",918,"Annona montana","mm",80.84,1
"Fruit length",918,"Annona muricata","mm",157.166666666667,6
"Fruit length",918,"Annona senegalensis","mm",37.5,3
"Fruit length",918,"Annona sericea","mm",NA,1
"Fruit length",918,"Anonidium mannii","mm",395,5
"Fruit length",918,"Anthobolus filifolius","mm",7,1
"Fruit length",918,"Anthobolus foveolatus","mm",7,1
"Fruit length",918,"Anthobolus leptomeroides","mm",7.5,1
"Fruit length",918,"Anthotium humile","mm",NA,1
"Fruit length",918,"Anthotium junciforme","mm",10,1
"Fruit length",918,"Anthotium rubriflorum","mm",8,1
"Fruit length",918,"Antiaris toxicaria","mm",20.13999999,1
"Fruit length",918,"Antrocaryon klaineanum","mm",25,1
"Fruit length",918,"Apatophyllum constablei","mm",4.5,1
"Fruit length",918,"Apatophyllum olsenii","mm",7.25,1
"Fruit length",918,"Apeiba albiflora","mm",57.2090909090909,11
"Fruit length",918,"Apeiba echinata","mm",65.3,11
"Fruit length",918,"Apeiba glabra","mm",51.5,12
"Fruit length",918,"Apeiba tibourbou","mm",53.3223333333333,30
"Fruit length",918,"Aphananthe philippinensis","mm",7,1
"Fruit length",918,"Aphandra natalia","mm",39.75,3
"Fruit length",918,"Apodytes brachystylis","mm",13.5,1
"Fruit length",918,"Apuleia leiocarpa","mm",51.7659523809524,42
"Fruit length",918,"Archidendron grandiflorum","mm",200,1
"Fruit length",918,"Archidendron hendersonii","mm",110,1
"Fruit length",918,"Archidendron lovelliae","mm",90,1
"Fruit length",918,"Archidendron lucyi","mm",95,1
"Fruit length",918,"Archidendron muellerianum","mm",92.5,1
"Fruit length",918,"Archidendron ramiflorum","mm",80,1
"Fruit length",918,"Archidendron vaillantii","mm",75,1
"Fruit length",918,"Archidendron whitei","mm",80,1
"Fruit length",918,"Archidendropsis basaltica","mm",117.5,1
"Fruit length",918,"Archidendropsis thozetiana","mm",200,1
"Fruit length",918,"Archidendropsis xanthoxylon","mm",97.5,1
"Fruit length",918,"Archontophoenix alexandrae","mm",11,4
"Fruit length",918,"Archontophoenix cunninghamiana","mm",12.5,4
"Fruit length",918,"Archontophoenix maxima","mm",12.5,4
"Fruit length",918,"Archontophoenix myolensis","mm",17,4
"Fruit length",918,"Archontophoenix purpurea","mm",23,4
"Fruit length",918,"Archontophoenix tuckeri","mm",20,4
"Fruit length",918,"Ardisia crenata","mm",7,1
"Fruit length",918,"Ardisia sieboldii","mm",8,2
"Fruit length",918,"Ardisia sp","mm",22.6,1
"Fruit length",918,"Areca abdulrahmanii","mm",40,2
"Fruit length",918,"Areca ahmadii","mm",43,2
"Fruit length",918,"Areca andersonii","mm",21,2
"Fruit length",918,"Areca arundinacea","mm",19,2
"Fruit length",918,"Areca bakeri","mm",62.5333333333333,4
"Fruit length",918,"Areca brachypoda","mm",22,2
"Fruit length",918,"Areca caliso","mm",30,2
