"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Aechmea","Aechmea distichantha","Aechmea distichantha f. distichantha",-25.66,-54.46
"Aechmea","Aechmea distichantha","Aechmea distichantha var. glaziovii (Baker) L.B.Sm.",-24.5,-47.25
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-27.68,-58.670556
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-23,-44
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",47,22
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.621667,-54.445833
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.506667,-53.655278
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.685117,-54.444558
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.690917,-54.437154
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-23.63837,-46.623159
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-22.721136,-46.491686
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.425365,-49.267485
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-23.638278,-46.623897
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.437173,-49.219185
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.385026,-49.015451
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-23.638238,-46.623842
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.455045,-54.050845
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-23.482205,-45.068139
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.385024,-49.015734
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.426089,-49.268376
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.606522,-54.551306
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-26.691156,-54.821056
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.384986,-49.015262
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-24.508241,-65.325572
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-24.440222,-65.301393
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",28.689447,-81.31588
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-22.894266,-46.046329
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-28.718982,-59.39097
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.682948,-54.454634
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-23.640461,-46.625155
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.424524,-49.268471
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-28.825136,-60.2739
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-26.788846,-65.329728
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.85756,-53.975704
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.362518,-49.261514
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.341725,-49.340727
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-28.212144,-53.666118
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",28.703684,-81.018102
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-22.962797,-46.277621
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-27.172627,-53.868192
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.361882,-49.259728
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-27.385813,-58.980512
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-22.891833,-46.044417
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-22.888139,-46.022944
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.836527,-53.727424
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-34.881468,-55.035175
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.685481,-54.446289
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-24.374167,-49.8475
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.166303,-49.285081
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.168636,-49.285483
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-20.211656,-46.475022
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-20.2113,-46.4751
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-27.2209,-54.042331
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-21.675917,-57.744884
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-26.708401,-65.289063
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-26.60179,-65.168277
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-29.307064,-59.03598
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-27.198431,-59.054998
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.686741,-54.444929
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.686831,-54.431639
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-26.697249,-65.268046
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-18.158533,-63.928333
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",3.93942,-76.482322
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",6.343211,-75.623155
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-26.451883,-53.951717
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-27.043447,-65.664649
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-28.029062,-59.217221
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-18.348328,-59.559191
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-25.598712,-54.587869
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-34.784019,-55.867117
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-22.708889,-47.631944
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-21.228611,-56.755278
"Aechmea","Aechmea distichantha","Aechmea distichantha Lem.",-22.375556,-44.8175
