"genus","species","scientificname","decimallatitude","decimallongitude","elevation","day","month","year","taxonkey"
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",9.3,2.6,NA,29,3,2000,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",6.716667,2.133333,NA,9,9,1998,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",4.985292,8.39725,NA,NA,6,2019,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",4.960195,8.386564,NA,NA,6,2019,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",4.881437,8.493938,NA,NA,6,2019,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",4.84911,8.44922,NA,NA,6,2019,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-19.710519,33.007858,NA,25,11,2019,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-19.75071,33.056819,NA,1,12,2019,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-3.8,30.1,NA,24,9,1980,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-19.908038,33.185027,NA,28,10,2013,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",0.056944,18.309166,NA,9,4,1932,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",3.471388,23.686388,NA,NA,NA,NA,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-4.133333,29.783333,NA,20,10,1977,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-2.9,27.933333,NA,2,2,1938,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-3.833333,29.5,NA,14,5,1976,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-1.15,21.95,NA,7,3,1991,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",1.2,30.183333,NA,NA,2,1949,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-1.033333,29.533333,NA,8,6,1959,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-24.404487,30.813833,NA,19,5,2020,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-28.3762,32.4181,NA,1,11,2020,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-28.356439,32.420402,NA,13,9,2014,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",5.727352,36.795632,NA,22,10,2010,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",10.866667,-1.933333,NA,25,5,1952,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-11.433333,34.033333,NA,21,1,1975,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",8.356667,36.06,NA,6,2,2009,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",5.383333,-4.05,NA,21,5,1958,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",5.966667,8.7,NA,8,6,1972,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",3.083333,10.416667,NA,NA,1,1913,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",5.333333,-4.133333,NA,21,5,1972,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",11.733333,-0.366667,NA,4,9,1996,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",6.583333,-0.733333,NA,12,4,1954,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-15.616667,28.5,NA,15,11,1992,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-1.25,36.833333,NA,17,11,1966,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",1.516667,35.416667,NA,15,3,1977,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",2.816667,11.133333,NA,31,1,1975,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-14.317556,34.270796,1579.97,22,3,2022,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-5.137777,15.071666,NA,NA,NA,1900,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",0.056944,18.309166,NA,21,5,1919,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-5.137777,15.071666,NA,NA,NA,1899,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",12.366,-12.316,300,18,2,1995,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",12.666,-12.983,130,22,1,1993,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",11.7,-0.3,300,26,9,1996,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-4.05,29.533333,NA,27,11,1979,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",12.883,-12.733,150,9,6,1993,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",13,-13.4,30,26,2,1993,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",12.883,-12.716,150,21,2,1994,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",11.733,-0.366,300,4,9,1996,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",11.666,-4.1,300,29,11,1994,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",-8.23,35.12,NA,13,11,1988,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",6.896012,2.477239,NA,31,7,2006,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",6.902417,2.495235,NA,31,7,2006,3076142
"Bridelia","Bridelia micrantha","Bridelia micrantha (Hochst.) Baill.",6.898054,2.492352,NA,31,7,2006,3076142
