"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-24.24,-65.08
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-22.67,-63.65
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-23.37,-64.22
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-22.25,-63.85
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-24.25,-65.09
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-19.51666,-63.86666
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-21.08055,-64.33833
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-18.98583,-64.29027
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-19.06472,-64.26055
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-22.9389,-64.7278
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-24.769,-65.546
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-25.105,-65.6
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-24.05,-65.019
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-24.761,-65.507
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-24.036,-65.019
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-19.05194,-64.15527
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-19.57833,-63.89555
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-19.555,-63.91472
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-19.06472,-64.32722
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-24.66666,-65.5
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-22.32638,-64.14694
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-27,-65.5
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-20,-64.3333
"Ocotea","Ocotea porphyria","Cinnamomum porphyrium (Griseb.) Kosterm.",-24.425,-65.28333
