"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-39.9,-72.25
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-34.150278,-70.958611
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-40.232778,-72.266389
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-40.066667,-72.35
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-37.816667,-71.7
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-36.716667,-71.866667
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-42,-73.916667
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-41.234663,-72.527178
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-40.565184,-72.866914
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-37.336906,-71.640236
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-36.91787,-73.023094
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-33.824412,-70.565483
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-37.650131,-73.44509
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-38.631122,-72.209975
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-34.918235,-54.886453
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-38.033002,-72.263517
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-33.894383,-70.62342
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-38.720422,-72.583739
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-38.820939,-71.661586
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-33.593011,-71.576885
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-39.83267,-71.978083
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-36.659044,-72.973546
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-39.29767,-65.655041
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-39.86863,-73.396453
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-38.295908,-73.484412
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-39.386555,-72.080603
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-38.29598,-73.484579
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-33.387735,-71.677879
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-33.598791,-71.583859
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-36.131125,-72.788235
"Clematicissus","Clematicissus striata","Cissus striata Ruiz & Pav.",-39.759281,-73.262336
