"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Coprosma","Coprosma lucida","Coprosma grandifolia Hook.f.",-38.749798,177.08313
"Coprosma","Coprosma lucida","Coprosma grandifolia Hook.f.",-37.131389,175.215
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-41.348234,175.016272
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-37.110259,175.517514
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-36.848143,174.782946
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-40.064908,176.216321
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-37.110319,175.517454
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-35.248114,173.749611
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-38.881513,175.666289
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-41.081558,175.099604
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-37.648158,175.082947
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-41.2649,173.94959
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-41.281562,174.76627
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-36.981474,174.532943
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-41.298233,174.899601
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-41.081559,175.182935
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-42.2447,171.3278
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-39.298187,174.016269
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-36.851843,174.763416
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-41.294234,175.270706
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-41.7844,172.0204
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-41.431567,175.349606
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-39.281523,176.516298
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-36.858143,174.776316
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-41.248232,175.082933
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-35.614789,173.532937
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-41.543239,175.289905
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-40.064878,176.216291
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-38.840081,175.517018
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-39.298187,174.066269
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-42.41492,171.216223
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-40.648121,176.130018
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-41.114929,175.232906
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-37.748162,175.999627
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-38.248174,177.549643
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-40.648219,175.232938
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-39.312588,174.084299
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-39.264857,174.0996
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-36.798142,174.732946
"Coprosma","Coprosma grandifolia","Coprosma grandifolia Hook.f.",-39.235489,175.401615
