"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-35.26055,173.39333
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-34.51666,172.95
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-45.9,170.5
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-37.015278,174.541667
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-43.811389,173.018333
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-37.047222,174.501944
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-38.39253,145.03039
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-40.881554,175.416279
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-40.214911,176.099619
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-43.67,172.6247
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-41.427153,173.961296
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-41.081559,175.182935
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-36.821042,174.720016
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-36.831472,174.716286
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-43.228873,172.224961
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-41.528239,175.299605
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-45.464999,170.799532
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-36.948144,174.466282
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-40.981551,173.03291
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-41.088423,172.730576
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-41.306433,174.894901
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-41.267132,174.7577
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-38.212571,176.317029
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-41.2919,174.7725
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-36.858143,174.776316
"Coprosma","Coprosma robusta","Coprosma robusta Raoul",-43.81496,172.966237
