"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-38.749798,177.08313
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-45.483333,167.166667
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-41.002627,175.120405
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-38.545575,175.064413
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-39.393389,173.927797
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-38.517375,175.554619
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-36.501737,174.736717
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-45.581623,167.366189
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-38.796884,177.122536
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-41.303233,174.891271
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-41.08553,175.642211
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-41.342334,175.108703
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-37.848168,178.08295
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-40.627021,176.27452
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-45.015007,167.399493
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-39.298187,174.066269
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-45.515,170.416197
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-41.032127,174.887402
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-36.931474,174.699615
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-39.481527,176.916301
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-39.914876,176.816299
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-36.948144,174.466282
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-40.907925,175.480709
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-40.214881,176.099619
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-38.064836,175.549621
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-41.109923,172.709576
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-38.70868,176.025324
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-38.112469,176.198228
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-39.331519,174.282932
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-41.281562,174.76627
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-38.69818,176.166326
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-43.614984,172.632864
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-38.064868,176.34963
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-43.414943,170.182865
"Coriaria","Coriaria arborea","Coriaria arborea Linds.",-39.464894,175.582916
