"genus","species","scientificname","decimallatitude","decimallongitude","elevation","day","month","year","taxonkey"
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.266667,-50.133333,NA,1,7,1982,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.278611,-42.648611,NA,5,11,2021,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-9.305278,-64.606667,120,7,1,2009,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.742222,-48.149722,NA,9,5,2012,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.627778,-53.873889,NA,20,6,2015,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.951667,-47.882222,NA,14,8,1989,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.9,-49.23,NA,17,6,2009,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.30296,-44.55142,NA,7,5,2006,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-18.031667,-57.49,NA,29,1,2010,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.378611,-43.659722,816,2,9,2008,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.333056,-44.538055,NA,17,4,2018,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-20.52,-47.34,NA,3,3,2020,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.25,-44.566667,1100,15,9,1994,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.504167,-47.869444,NA,4,8,1994,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.988055,-43.653056,NA,5,7,2022,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.393055,-41.843055,NA,16,6,2023,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-18.2444,-63.6775,1423,13,6,2005,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-9.72382,-68.1402,157,10,12,2018,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.158056,-48.552778,NA,23,10,1986,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.158056,-48.552778,NA,16,5,1986,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-30.046583,-51.118389,NA,1,10,2000,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-30.276667,-51.015556,NA,21,11,2010,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.001944,-51.405833,NA,26,6,1988,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.634167,-51.803611,NA,16,11,1996,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.943333,-51.718056,NA,5,1,2002,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.943333,-51.718056,NA,9,1,2002,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.755,-57.088056,NA,8,4,1988,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-30.543889,-52.521667,NA,7,9,2004,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.480833,-50.174444,NA,21,10,2000,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.480833,-50.174444,NA,17,9,2000,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.001944,-51.405833,NA,24,6,1988,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.234444,-52.027778,NA,12,12,1988,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.234444,-52.027778,NA,22,5,1988,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.365833,-50.815556,NA,4,5,2002,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.480833,-50.174444,NA,21,3,1998,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-10.260277,-40.237777,878,30,7,2022,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.407534,-52.359859,NA,30,7,2017,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.343498,-45.453829,NA,NA,NA,NA,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.342726,-45.451609,NA,NA,NA,NA,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-9.12347,-62.9,112,27,10,1979,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.4833,-56.1833,158.5,26,8,1993,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-18.285833,-63.651667,1732,14,9,2007,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.28333,-64.38333,770,20,11,1998,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.41666,-57.16666,250,2,6,1988,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.26666,-64.5,1100,24,4,1983,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.09694,-55.48277,450,25,11,1997,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.606944,-45.638467,887,30,7,2006,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.1,-46.266667,1060,11,11,2014,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.166667,-56.85,NA,23,12,1995,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-13.845278,-46.981667,838,23,10,2018,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.1,-46.266667,1060,29,6,2016,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.3,-56.733333,NA,22,12,1995,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.5325,-55.72,NA,21,2,1997,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-16.587167,-56.2757,NA,8,1,2018,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-10,-67.833333,NA,26,10,1980,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.989444,-47.892778,NA,31,5,1989,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-18.9325,-47.140556,NA,1,3,1989,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.968333,-47.895278,NA,8,8,1989,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.9925,-47.894722,NA,12,7,1989,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.973611,-47.910278,NA,19,7,1989,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.650278,-57.213333,NA,23,2,2007,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.516667,-48.1,NA,10,8,1995,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-10.396944,-50.424444,190,21,3,1999,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-14.138889,-47.768889,NA,12,9,1996,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.076279,-65.66185,NA,1,11,1973,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.18,-49.86,NA,5,9,2016,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.992778,-43.650833,NA,13,5,2022,3784297
