"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",6.257693,-75.609695
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",6.354195,-75.500282
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",6.2098,-75.5774
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",9.249722,-74.765861
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",6.269306,-75.565854
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",6.263333,-75.600833
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",21.475834,101.56752
"Eugenia","Eugenia uniflora","Stenocalyx michelii (Lam.) O.Berg",-13.016667,-40.016667
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-13.266667,-41.883334
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",23.7025,120.782222
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",22.944722,120.5725
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",22.639444,120.584167
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",6.3833,2.2833
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",6.4833,2.6166
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-24.37,-54.58
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-27.25,-51.41667
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-20.595,164.40861
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-12.819167,-39.825833
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-11.95,-38.95
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-23.789722,-64.785278
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-14.757778,-42.576944
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-12.9,-38.336111
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-25.153611,-53.846111
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",46.515278,20.628056
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-12.6,-44.85
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-23.073056,-64.751944
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-14.179722,-39.613056
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-13.004722,-38.505556
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-13.905278,-39.207778
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-12.172778,-44.931944
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-12.774167,-38.445833
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-12.766667,-38.916667
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-13.376944,-39.347778
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-12.966667,-38.5
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-12.166667,-38.4
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-24.971389,-53.420556
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-22.946944,-43.048611
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-26.22725,152.677083
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",23.899964,120.696381
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-16.397203,-67.549558
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-31.524753,-52.481948
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-1.451934,-48.445478
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-34.790098,-58.449795
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-30.542583,-56.340203
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-28.530755,-57.164406
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",28.669986,-81.208121
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-22.96718,-43.228616
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",8.861331,-79.798943
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",27.058905,-82.406075
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",6.268368,-75.568105
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-22.967112,-43.22865
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-30.866018,-57.5621
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-23.605544,-46.451828
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",4.945127,-52.304531
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",28.687587,-81.395767
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",0.044126,-78.679298
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",4.272549,-73.495531
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",26.07239,-80.277387
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-22.967095,-43.228451
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",14.558712,-90.73168
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",31.08082,121.182197
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-25.807222,-52.900833
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-27.531536,153.11039
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-27.489687,152.975163
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-25.536702,-54.14436
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-25.414458,-54.587224
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",19.523797,-155.921759
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-27.556403,152.72013
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-22.374631,-43.912865
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-22.88437,-43.537395
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-22.339528,-41.765122
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-27.616997,153.215303
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-26.418026,153.090422
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",19.412233,-154.92627
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",0.044144,-78.679069
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",-30.068311,-51.11906
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",26.193088,-80.111622
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",26.320851,-80.220076
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",22.9948,-82.3423
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",26.070295,-80.277774
"Eugenia","Eugenia uniflora","Eugenia uniflora L.",8.436738,-82.392127
