"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",47.186265,32.921479
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",49.9251,3.36777
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",49.09427,2.03489
"Euonymus","Euonymus europaeus","Evonymus europaeus L., 1753",46.39234,-0.02646
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",46.1622,0.73182
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",45.60314,0.90082
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",45.93177,0.98185
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",45.95505,1.00222
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",45.60864,0.9257
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",55.97076,11.850334
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",49.944276,14.39825
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",47.06253,15.613549
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",52.186878,4.394498
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",54.056651,37.510013
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",48.643495,9.181755
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",49.876793,19.202688
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",48.267799,16.713901
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",51.434728,-0.324897
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",-43.468632,172.091476
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",50.602293,31.646265
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",44.868411,37.838322
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",47.984444,11.3125
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",-44.873508,170.627703
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",50.462815,30.53359
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",51.682467,9.90909
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",50.41338,30.533695
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",47.854444,15.067778
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",44.585309,33.863937
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",54.687476,25.362794
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",52.345021,35.360396
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",-45.252445,169.370453
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",43.034239,-81.230952
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",52.412297,-1.949268
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",50.876076,0.575676
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",51.337489,6.637628
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",47.210853,8.984478
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",52.503141,17.082746
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",49.473638,6.077021
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",50.916668,16.109722
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",50.61683,3.907016
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",57.600063,11.924085
"Euonymus","Euonymus europaeus","Euonymus europaeus L.",48.1977,11.64029
