"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-20.795555,-42.847222
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-9.640278,-55.915
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-14.048333,-39.034167
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-12.469444,-39.471667
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-16.133333,-39.133333
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-12.3,-38.3
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-13.908611,-41.906944
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-17.357778,-39.358333
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-14.368333,-39.266944
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-22,-47
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-13.833333,-48.3
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-23.144781,-46.299608
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-20.417249,-41.184449
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-20.523667,-45.994194
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-14.428894,-39.012992
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-23.314134,-45.229044
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-23.312488,-45.225883
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-21.129319,-42.696757
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-23.742301,-45.88916
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-27.048572,-49.093309
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-27.182186,-49.121665
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-25.766873,-54.569397
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-23.676014,-46.731418
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-23.558464,-46.790072
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-23.417599,-46.735989
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-22.479452,-44.556001
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-17.64,-47.24
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-24.373833,-51.952
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-26.650624,-49.018024
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-26.710079,-49.008009
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-27.024019,-48.887458
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-27.05708,-49.536268
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-22.813431,-43.377725
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-26.863322,-49.303376
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-23.118778,-44.057279
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-26.944626,-49.333152
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-26.668191,-49.195401
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-27.176801,-48.81961
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-25.430914,-49.237194
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-22.91452,-43.471561
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-27.003631,-48.858364
"Euterpe","Euterpe edulis","Euterpe edulis Mart.",-23.046705,-44.143173
