"genus","species","scientificname","decimallatitude","decimallongitude","elevation","day","month","year","taxonkey"
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.608333,-47.876944,NA,17,7,1996,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.251111,-49.705556,NA,3,6,1914,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.4292,-42.7506,NA,12,5,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.540278,-46.63,NA,23,5,1933,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.428056,-49.273056,NA,18,11,1987,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.916667,-51.966667,NA,14,3,1996,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.540278,-46.63,NA,13,4,1977,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-26.369722,-49.41,NA,24,11,2009,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.27,-49.23,NA,6,4,2010,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.8164,-45.1925,NA,16,8,2006,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.104444,-55.225556,NA,28,1,1979,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.690159,-59.434135,NA,15,2,2021,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.753889,-41.984167,NA,17,10,2004,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.586667,-42.032778,NA,17,10,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.561944,-52.183611,301,11,3,2008,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.433333,-42.833333,NA,19,2,1992,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-26.73,-49.499722,600,4,5,2010,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.96277,-43.17944,NA,30,9,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.125278,-50.845,650,21,1,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.431389,-43.223611,953,20,8,2002,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22,-42.05,1000,1,6,1990,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.450556,-49.05,841,8,4,2010,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-17.183333,-39.333333,70,10,11,2009,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.474722,-44.441389,400,21,6,2008,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-29.722222,-53.720556,NA,9,3,2012,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.966389,-43.024167,250,29,4,2006,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.449722,-48.96,434,19,2,2010,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.933333,-43.175,NA,24,10,1999,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.121111,-49.220833,745,21,8,2014,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.179444,-50.780556,NA,6,12,2005,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.652222,-46.625,NA,26,11,2022,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.466667,-48.866667,380,24,1,1985,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.17,-49.322222,332,14,4,2010,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.529167,-49.497222,NA,27,1,2010,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23,-46.416667,NA,1,6,1987,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23,-46.416667,NA,18,11,1987,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-30.276667,-51.015556,NA,21,11,2010,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-29.480833,-50.174444,NA,22,10,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-29.369444,-49.849722,NA,7,1,2009,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.234872,-50.012929,NA,27,11,1911,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.37,-49.22,NA,31,1,1996,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-34.603329,-58.355686,NA,23,3,2019,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.745,-46.35306,NA,14,2,2008,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.596019,-54.588145,NA,8,7,2022,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.538135,-57.16731,NA,4,7,2022,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",2.730861,-77.789611,5,NA,9,2019,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.87,-56.88,NA,14,5,2018,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.266111,-48.449167,850,30,1,2006,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-21.983333,-44.9,880,24,11,2005,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.567778,-53.236944,366,NA,4,2008,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.030833,-49.086667,182,26,6,2009,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.088889,-53.415,341,9,3,2009,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.504722,-49.077778,382,24,4,2010,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.537222,-43.426389,884,3,8,2016,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.75,-49.1,1105,26,6,2013,5571838
