"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Ficus","Ficus thonningii","Ficus thonningii Blume",-15.8225,35.721111
"Ficus","Ficus thonningii","Ficus thonningii Blume",6.366111,10.6125
"Ficus","Ficus thonningii","Ficus thonningii Blume",12.7,-0.133333
"Ficus","Ficus thonningii","Ficus thonningii Blume",-21.333333,31.3
"Ficus","Ficus thonningii","Ficus thonningii Blume",-18.05,21.433333
"Ficus","Ficus thonningii","Ficus thonningii Blume",-18.666667,23.416667
"Ficus","Ficus thonningii","Ficus thonningii Blume",-24.7,25.9
"Ficus","Ficus thonningii","Ficus thonningii Blume",4.15,9.333333
"Ficus","Ficus thonningii","Ficus thonningii Blume",5.833334,10.15
"Ficus","Ficus thonningii","Ficus thonningii Blume",4.233333,8.983334
"Ficus","Ficus thonningii","Ficus thonningii Blume",4.166667,9.2
"Ficus","Ficus thonningii","Ficus thonningii Blume",4.8,9.7
"Ficus","Ficus thonningii","Ficus thonningii Blume",4.85,9.65
"Ficus","Ficus thonningii","Ficus thonningii Blume",4.166667,9.183333
"Ficus","Ficus thonningii","Ficus thonningii Blume",4.116667,9.216667
"Ficus","Ficus thonningii","Ficus thonningii Blume",6.89898,2.48983
"Ficus","Ficus thonningii","Ficus thonningii Blume",6.89942,2.49061
"Ficus","Ficus thonningii","Ficus thonningii Blume",6.89885,2.48893
"Ficus","Ficus thonningii","Ficus thonningii Blume",6.89826,2.49031
"Ficus","Ficus thonningii","Ficus thonningii Blume",6.89754,2.49082
"Ficus","Ficus thonningii","Ficus thonningii Blume",6.89713,2.492
"Ficus","Ficus thonningii","Ficus thonningii Blume",11.05,3.05
"Ficus","Ficus thonningii","Ficus thonningii Blume",10.2,1.503
"Ficus","Ficus thonningii","Ficus thonningii Blume",6.45,1.833
"Ficus","Ficus thonningii","Ficus thonningii Blume",10.15,1.466
"Ficus","Ficus thonningii","Ficus thonningii Blume",9.676,1.706
"Ficus","Ficus thonningii","Ficus thonningii Blume",10.3,1.466
"Ficus","Ficus thonningii","Ficus thonningii Blume",10.2,1.466
"Ficus","Ficus thonningii","Ficus thonningii Blume",9.078,2.581
"Ficus","Ficus thonningii","Ficus thonningii Blume",9.8,2.983
"Ficus","Ficus thonningii","Ficus thonningii Blume",10.25,1.266
"Ficus","Ficus thonningii","Ficus thonningii Blume",6.533,1.75
"Ficus","Ficus thonningii","Ficus thonningii Blume",7.75,2.183
"Ficus","Ficus thonningii","Ficus thonningii Blume",10.135,1.448
"Ficus","Ficus thonningii","Ficus thonningii Blume",6.962283,2.671067
"Ficus","Ficus thonningii","Ficus thonningii Blume",6.964217,2.667167
"Ficus","Ficus thonningii","Ficus thonningii Blume",6.963567,2.66545
"Ficus","Ficus thonningii","Ficus thonningii Blume",6.962967,2.672683
"Ficus","Ficus thonningii","Ficus thonningii Blume",6.5833,1.6666
"Ficus","Ficus thonningii","Ficus thonningii Blume",10.3166,1.3666
"Ficus","Ficus thonningii","Ficus thonningii Blume",10.3,3.3833
"Ficus","Ficus thonningii","Ficus thonningii Blume",10.1,1.4166
"Ficus","Ficus thonningii","Ficus thonningii Blume",7.9333,1.9666
"Ficus","Ficus thonningii","Ficus thonningii Blume",-14.879772,37.021619
"Ficus","Ficus thonningii","Ficus thonningii Blume",-13.312778,35.240557
"Ficus","Ficus thonningii","Ficus thonningii Blume",-18.933332,32.883333
"Ficus","Ficus thonningii","Ficus thonningii Blume",-15.143583,33.686314
"Ficus","Ficus thonningii","Ficus thonningii Blume",-14.896944,33.614998
"Ficus","Ficus thonningii","Ficus thonningii Blume",-16.102627,35.77004
"Ficus","Ficus thonningii","Ficus thonningii Blume",-14.69444,34.376404
"Ficus","Ficus thonningii","Ficus thonningii Blume",-14.91361,33.593611
"Ficus","Ficus thonningii","Ficus thonningii Blume",-15.61301,34.457854
