"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",1.983333,-76.6925
"Myrsine","Myrsine coriacea","Rapanea ferruginea (Ruiz & Pav.) Mez",8.635,-71.06944
"Myrsine","Myrsine coriacea","Rapanea ferruginea (Ruiz & Pav.) Mez",18.30277,-65.79361
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",8.779028,-82.954111
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",9.601944,-83.796111
"Myrsine","Myrsine coriacea","Myrsine ferruginea (Ruiz & Pav.) Spreng.",-12.478611,-40.476111
"Myrsine","Myrsine coriacea","Myrsine ferruginea (Ruiz & Pav.) Spreng.",-13.679167,-39.670833
"Myrsine","Myrsine coriacea","Myrsine ferruginea (Ruiz & Pav.) Spreng.",-11.484722,-40.485278
"Myrsine","Myrsine coriacea","Rapanea ferruginea (Ruiz & Pav.) Mez",-23.033333,-45.033333
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.775391,-75.366806
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.781704,-75.383931
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.779004,-75.36674
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.778989,-75.366734
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.788789,-75.365843
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.770821,-75.376266
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.784276,-75.369883
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.791716,-75.348802
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.779371,-75.360221
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.738285,-75.337275
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.731212,-75.349285
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.781209,-75.38347
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.781341,-75.383498
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.776924,-75.362154
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.782088,-75.375354
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.78186,-75.375144
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.780449,-75.379105
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.768257,-75.379457
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.781567,-75.357758
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.789305,-75.368883
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.768177,-75.379311
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.777837,-75.364145
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.782304,-75.375591
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.781376,-75.383815
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.781318,-75.374741
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.787858,-75.34721
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.787652,-75.363768
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.787547,-75.34015
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.781256,-75.374795
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.781466,-75.374901
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.788722,-75.365836
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.781491,-75.383661
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.778515,-75.383854
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.778662,-75.383742
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.781325,-75.383402
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.781461,-75.382997
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.780045,-75.370123
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.778564,-75.371842
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.780447,-75.379102
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.781252,-75.374726
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.780796,-75.374272
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.779126,-75.383679
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.778913,-75.383726
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",6.782201,-75.320314
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",-16.393264,-67.546906
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",10.86627,-73.936287
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",5.319948,-72.587466
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",5.302617,-72.574782
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",5.300634,-72.574967
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",5.190512,-72.609773
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",3.058,-75.392
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",3.0675,-75.3842
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",3.0664,-75.3647
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",18.256742,-66.418755
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",16.747766,-92.688629
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",-26.736423,-49.192661
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",4.53676,-74.097106
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",4.755904,-74.075597
"Myrsine","Myrsine coriacea","Myrsine ferruginea (Ruiz & Pav.) Spreng.",-22.491667,-55.116111
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",-34.695133,-55.31962
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",-26.292946,-48.915438
"Myrsine","Myrsine coriacea","Myrsine coriacea subsp. coriacea",19.97917,-97.53972
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",-26.846073,-48.658383
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",18.172442,-66.591853
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",19.067543,-70.596057
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",18.172449,-66.591841
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",-16.131092,-68.107681
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",9.2125,-70.164167
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",9.225556,-70.166944
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",9.2625,-69.983333
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",9.246667,-70.204167
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",9.233333,-70.183333
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",9.216667,-70.2
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",9.216667,-70.116667
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",9.245833,-70.203333
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",18.256503,-66.418813
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",18.256595,-66.418795
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",18.25633,-66.418572
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",18.74737,-71.45882
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",18.132237,-66.495211
"Myrsine","Myrsine coriacea","Myrsine coriacea (Sw.) R.Br.",4.889878,-74.080186
"Myrsine","Myrsine coriacea","Myrsine coriacea subsp. coriacea",8.9,-82.78
