"genus","species","scientificname","decimallatitude","decimallongitude","elevation","day","month","year","taxonkey"
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-24.253889,-49.269444,NA,22,5,1993,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-19.2781957,-44.4044451,NA,16,5,1955,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-18.66669,-46.8,NA,31,1,1970,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-18.13,-63.68,NA,2,2,1998,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-8.4741498,-35.7279759,NA,8,5,1995,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-29.218747,-51.339909,NA,23,7,1986,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-25.9460697,-53.1650707,NA,15,5,1966,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-12.5669562,-41.3897406,400,2,3,1980,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-15.7834208,-47.9298727,NA,10,10,1979,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-14.2527,-39.1416,NA,25,8,1979,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-15.1736,-39.3417,NA,12,4,2007,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-13.4447768,-40.4305779,NA,2,6,1993,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-19.183333,-46.233333,1067,6,9,1999,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.516111,-41.083611,1250,16,7,2008,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-26.999444,-50.129444,NA,14,8,2010,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-27.630278,-49.500556,642,25,11,2009,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.920833,-56.675833,NA,3,12,2010,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-21.977778,-43.951944,NA,NA,NA,NA,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-25.824167,-49.073611,850,15,8,2010,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.418611,-41.847222,1314,2,7,2013,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22.723889,-44.607778,NA,3,6,2014,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.716667,-42.483333,1300,10,7,1990,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-23.805278,-45.551944,NA,11,1,2017,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-26.908611,-49.678333,652,23,6,2010,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-26.821667,-49.77,701,24,6,2010,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-16.365833,-51.451667,NA,4,8,2007,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-17.2,-51.783333,NA,31,10,1964,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-18.130556,-43.379167,1050,12,10,2015,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.595833,-46.641667,924,15,8,2013,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-21.708889,-43.894722,1360,19,6,2013,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-29.6275,-53.873889,NA,11,11,2013,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22.992778,-43.650833,NA,13,5,2022,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.983333,-51.766667,NA,3,1,1994,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-25.166667,-55.916667,NA,13,12,1982,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22,-42.05,NA,18,7,1988,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.445833,-41.735278,1110,22,2,2000,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.516111,-41.083611,1250,2,5,2008,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-27.181389,-49.231389,4,27,10,2009,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22.368611,-44.8025,1614,10,10,2010,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-19.1,-46.266667,1060,24,9,2013,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.716667,-42.483333,1200,12,10,1990,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-25.146389,-49.955,NA,30,9,2016,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-18.587222,-43.896111,1260,9,7,2001,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22,-42.05,1100,26,8,1987,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22,-42.05,NA,7,6,1989,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.519444,-41.0875,1250,17,7,2008,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22.25,-44.566667,1850,8,11,1993,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.116389,-43.4775,1260,1,9,2015,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-25.130278,-53.823889,682,20,8,2015,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.518611,-41.086389,NA,21,10,2018,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-28.89,-49.86,NA,13,10,2009,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-13.5,-47.5,NA,25,6,1996,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-30.019139,-51.237222,NA,13,9,2003,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-29.480833,-50.174444,NA,16,5,2000,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-30.276667,-51.015556,NA,30,6,2009,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-31.771944,-52.342222,NA,8,11,2003,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-30.019139,-51.237222,NA,17,10,2003,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-19.5174009,-43.744901,NA,21,7,1980,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-11.63,-41.28,NA,1,6,1980,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-15.1742,-39.3394,NA,21,7,2005,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-23.7271502,-51.0976144,NA,8,6,1999,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-8.31,-36,NA,25,2,1994,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-13.7803789,-47.2648251,NA,10,10,1979,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22.4999514,-44.5633613,NA,NA,NA,1918,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-11.28,-51.75,NA,17,10,1985,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-15.7834208,-47.9298727,1000,7,7,1966,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-15.159747,-39.039072,NA,NA,8,1834,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-29.433343,-50.395632,850,29,10,1994,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-12.45,-41.45,NA,22,5,1980,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-21.838889,-46.564722,NA,2,9,1980,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-21.838889,-46.564722,NA,28,8,1980,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-19.342726,-45.451609,NA,NA,NA,NA,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-19.343498,-45.453829,NA,NA,NA,NA,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-26.13333,-53.75,NA,29,11,1944,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-18.266833,-63.673583,1386,10,12,2007,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22.658333,-56.026111,270,17,3,2011,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-26.01666,-56.76666,NA,31,10,1989,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-26.06666,-56.76666,NA,20,8,1991,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-17.93472,-64.28472,1700,16,7,2000,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-25.866667,-57.2,NA,3,8,1919,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-17.86666,-64.25,1500,2,7,2000,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-17.66666,-63.33333,450,NA,NA,NA,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-15.533333,-47.55,1150,20,10,1982,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-15.729167,-56.070833,NA,11,11,2009,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-24.166667,-49.65,NA,3,10,2017,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-23.453333,-46.766111,NA,22,11,2013,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-28.35,-49.499722,NA,19,2,2010,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-25.5,-57.25,NA,15,5,1984,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-15.516667,-48.166667,770,6,2,1996,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22.25,-44.566667,1600,5,10,1994,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-27.54,-49.049722,835,27,1,2010,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-15.202778,-39.408056,NA,29,4,2006,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.233611,-44.465,NA,15,11,2011,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-19.945,-43.897778,1142,7,10,2010,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22,-42.05,NA,9,8,1988,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-21.683333,-43.866667,1450,26,5,2005,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-13.524167,-41.945278,1500,NA,11,2008,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-23.243889,-45.027778,1045,15,11,2006,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22.491667,-42.495833,1350,12,8,2016,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-25.340833,-51.161111,1012,9,11,2012,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-24.253333,-52.4375,667,4,8,2009,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22.962778,-43.179722,NA,2,12,2008,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.0325,-43.710278,NA,24,7,2011,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.75,-42.466667,1200,8,6,1991,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.766667,-42.033333,600,6,1,1994,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-23.048611,-43.629722,NA,26,5,2004,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22,-42.05,NA,2,11,1990,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-23.958056,-48.466944,552,23,10,2007,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22,-42.05,1100,16,5,1990,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-26.549722,-49.9475,747,3,2,2010,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-25.868889,-48.966667,954,27,8,2010,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-27.81,-49.14,720,6,7,2010,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-23.53333,-50.96666,NA,28,5,2004,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.509167,-41.084444,1129,6,8,2013,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-25.173889,-49.968056,906,16,10,2009,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-17.929167,-41.184722,970,18,9,2016,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-29.671944,-53.591389,NA,4,11,2016,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-29.644444,-53.776667,NA,21,12,2016,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22.466667,-42.5,NA,20,6,1990,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-21.849722,-46.720278,1460,11,1,1994,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22,-42.05,NA,3,6,1990,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-21.4,-56.883333,NA,6,12,2010,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22.338889,-44.617778,1585,25,6,2016,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-17.810833,-43.742778,1182,3,11,2016,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-29.395833,-51.810556,NA,6,1,2017,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-26.306944,-49.313333,NA,1,7,2018,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-27.268611,-49.051944,NA,30,6,2009,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-28.98,-49.86,NA,4,8,2009,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22.6,-50.38,550,NA,NA,NA,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-14.04,-47.595278,1200,19,10,1965,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-14.78,-39.03,NA,23,8,1984,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-12.33,-38.7,NA,21,9,1984,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-27.103056,-53.401667,550,1,1,1957,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-25.874444,-50.382778,NA,27,2,1929,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-23.646111,-46.618333,NA,4,6,1932,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-29.433333,-50.395556,800,17,8,1996,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-29.168333,-51.179167,NA,12,9,1986,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-13.25,-41.92,NA,14,2,1992,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-15.9,-48.13,850,12,9,1964,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-15.779722,-47.929444,1000,7,7,1966,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-15.779722,-47.929444,NA,9,1,1980,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-16.678611,-49.253889,NA,16,3,1978,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-15.616667,-47.666667,NA,21,7,1966,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-19.513611,-43.744722,NA,21,7,1980,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-20.434167,-41.796667,2865,3,3,1959,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-13.53,-41.77,NA,20,7,1979,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-13.67,-41.42,NA,23,3,1980,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-22.903056,-43.2075,NA,22,7,1988,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-26.908056,-48.661667,50,2,7,1954,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-25.548889,-48.631667,NA,11,5,1909,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-23.170278,-45.88,600,10,5,1962,7422518
"Myrsine","Myrsine umbellata","Myrsine umbellata Mart.",-29.433333,-50.395556,850,29,10,1994,7422518
