"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Neopanax","Neopanax arboreus","Neopanax arboreus (Murray) Allan",-38.749798,177.08313
"Neopanax","Neopanax arboreus","Neopanax arboreus (Murray) Allan",-40.437492,176.255951
"Neopanax","Neopanax arboreus","Neopanax arboreus (Murray) Allan",-41.299713,174.746353
"Neopanax","Neopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-42.383333,173.65
"Neopanax","Neopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-41.222222,174.877778
"Neopanax","Neopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-41.283333,173.766667
"Neopanax","Neopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-37,174.539167
"Neopanax","Neopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-43.811389,173.018333
"Neopanax","Neopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-38.283333,176.391667
"Neopanax","Neopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-37.015278,174.541667
"Neopanax","Pseudopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-41.318233,174.7996
"Neopanax","Pseudopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-40.648121,176.131218
"Neopanax","Pseudopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-41.264532,174.75475
"Neopanax","Pseudopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-39.318188,174.1496
"Neopanax","Pseudopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-41.348234,175.016272
"Neopanax","Pseudopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-42.314924,173.616252
"Neopanax","Pseudopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-45.515,170.416197
"Neopanax","Pseudopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-45.881671,170.499526
"Neopanax","Pseudopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-43.614954,172.716235
"Neopanax","Pseudopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-41.084823,172.732976
"Neopanax","Pseudopanax arboreus","Pseudopanax arboreus (L.fil.) K.Koch",-37.848168,178.08298
