"genus","species","scientificname","decimallatitude","decimallongitude","elevation","day","month","year","taxonkey"
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-23.044722,-43.5125,200,5,6,2004,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-25.100833,-52.878056,NA,26,4,1968,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-31.106944,-50.920833,NA,10,1,1945,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-27.05,-51.75,NA,12,10,1964,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-29.760556,-51.146944,NA,10,10,1947,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-25.226389,-49.986667,NA,13,12,1969,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-15.612778,-56.043889,NA,NA,8,1892,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-22.2,-64.533333,950,9,10,1983,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-22.713889,-45.936667,1900,20,6,2000,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-29.760556,-51.146944,NA,20,6,1946,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-1.523333,-52.581667,NA,9,11,1978,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-25.584167,-49.635556,NA,6,1,1971,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-19.009444,-57.653056,NA,NA,8,1892,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-24.526111,-49.948333,NA,26,9,1970,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-25.429444,-50.006389,NA,21,1,1982,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-25.1046603,-52.878945,NA,26,4,1968,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-15.383338,-47.009508,865,19,3,2003,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-1.526638,-52.5824474,NA,9,11,1978,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-30,-54,NA,21,4,1977,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-30,-54,NA,NA,9,1985,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-22,-42.5,NA,27,9,1953,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-30,-54,NA,7,7,1986,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-25.226264,-49.986549,NA,13,12,1969,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-25.9,-57.15,500,30,6,1988,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-28.824713,-58.145836,NA,18,8,1995,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-27.05,-51.75,750,12,10,1964,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-26.916389,-54.3,NA,3,11,1999,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-30,-54,NA,NA,NA,NA,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-26.91638,-54.205,NA,14,10,1997,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-26.9,-57.15,500,26,7,1988,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-29.764527,-51.1476568,NA,10,10,1947,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-19.0131416,-57.6542208,NA,NA,8,1892,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-27.71,-57.83,NA,NA,NA,NA,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-14.133611,-47.729167,1200,7,12,1991,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-30,-54,NA,NA,9,1983,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-24,-51,NA,26,5,1949,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-30,-54,NA,NA,3,1981,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-30,-54,NA,9,10,1972,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-30,-54,NA,12,3,1981,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-32.8667,-55.7933,NA,27,3,1879,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-22,-42.5,NA,26,5,1949,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-26.92,-54.21,NA,NA,NA,NA,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-22.33,-64.93,NA,NA,NA,NA,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-26.95,-65.48,NA,NA,NA,NA,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-31.22,-57.93,NA,NA,NA,NA,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-26.545833,-54.18,NA,3,11,1999,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-25.5880831,-49.6362233,NA,6,1,1971,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-31.1108426,-50.9215507,NA,10,1,1945,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-25.4332793,-50.0070484,NA,21,1,1982,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-15.612755,-56.043867,NA,NA,8,1892,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-24.5299669,-49.9489396,NA,26,9,1970,4069089
"Phoradendron","Phoradendron falcifrons","Phoradendron falcifrons (Hook. & Arn.) Eichler",-29.764527,-51.1476568,NA,20,6,1946,4069089
