"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-27.13,-54.49
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.78,-65.35
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-23.37,-64.22
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-24.81,-63.83
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-23.92,-65.8
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-23.72,-64.86
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-22.33,-64.93
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.700733,-65.286386
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.691845,-65.27507
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.602002,-65.167217
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.7332,-65.276136
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.803283,-65.320401
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.80363,-65.319833
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.802835,-65.320753
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-23.73,-64.83
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.7,-65.28
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-25.82,-64.9
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.77,-65.38
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.61,-65.87
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.93,-65.35
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-27.32,-65.75
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-23.73,-64.57
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-24.7,-64.7
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.6,-64.9
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.82,-65.32
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-23.1,-64.27
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-27.75,-65.68
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-22.92,-64.43
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-22.73,-64.37
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-23.52,-64.64
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.8,-65.32
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.82,-65.2
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.83,-65.22
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.88,-65.42
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.58,-64.95
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.78,-65.32
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.72,-65.27
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-27.32,-55.53
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-23.63,-64.93
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-23.78,-64.5
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-23.71,-64.73
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-22.72,-64.12
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.802606,-65.320385
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.803441,-65.319922
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.804018,-65.320269
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.802192,-65.320599
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.804108,-65.320085
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.777347,-65.325924
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.573888,-68.784999
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-15.442222,-68.479444
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.145555,-68.745
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.200278,-68.655833
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.222778,-68.635278
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.212778,-68.511111
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.151528,-68.732694
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.155,-68.724167
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.57388,-68.75694
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.680897,-68.730878
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.983333,-67.766667
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.17333,-67.91944
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-15.460556,-67.478056
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-15.461389,-67.4775
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.677444,-68.734722
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.816667,-65.316667
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-19.946944,-64.233056
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-21.077722,-64.352861
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-21.116111,-64.242222
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-19.81305,-64.08888
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.573889,-68.785
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.158333,-68.74
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.208333,-68.647222
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.428611,-68.587778
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-22.48055,-64.36666
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-15.460944,-67.477111
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.477222,-68.536111
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.17361,-67.91555
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-19.272972,-63.828111
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-19.340083,-63.759972
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.5785,-68.777472
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-21.04,-64.21888
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-19.77472,-64.115
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.155192,-68.724217
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.144994,-68.745008
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.803293,-65.320003
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.79611,-65.34806
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.795556,-65.323889
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.805007,-65.307415
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.803847,-65.320258
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-35.3869,-64.9208
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.803503,-65.319841
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-22.2,-64.53
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-18.12,-63.65
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-19.33164,-64.0611
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-23.365278,-64.217222
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-26.716667,-65.266667
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-22.616667,-63.85
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-20.7,-64.333
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.680833,-68.730833
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.4772,-68.5361
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.155,-68.7242
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.1583,-68.74
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.1456,-68.745
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-14.145556,-68.745
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-22.2,-64.53333
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-19.8,-63.95
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-19.58333,-63.90333
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-27.31666,-55.53333
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-18.965,-58.46555
"Piper","Piper tucumanum","Piper tucumanum C.DC.",-23.715,-64.855556
