"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-20.795555,-42.847222
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-9.4825,-55.476389
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-13,-39.333333
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-15.676389,-38.997778
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-8.3,-36
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-12.45,-41.416667
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-14.283333,-38.983333
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-12.416667,-41.483333
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-13.333333,-44.633333
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-12.466667,-41.45
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-14.333333,-39.05
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-14.3,-38.983334
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-16.416667,-39.2
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-16.883334,-39.416667
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-16.266667,-39.05
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-12.85,-39.466667
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",9.494539,-75.36005
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",9.50092,-75.35044
"Psychotria","Psychotria carthagenensis","Psychotria elliptica KerGawl.",24.069167,120.974167
"Psychotria","Psychotria carthagenensis","Psychotria elliptica KerGawl.",25.093889,121.515833
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-5.419222,-78.570056
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-31.66,-56.1
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-23.7,-64.87
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-22.34,-63.84
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-12.57,-70.1
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-12.4466,-70.2403
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-31.52222,-68.52333
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",5.60175,-70.27247
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",5.59111,-70.2675
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-1.67194,-71.44694
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",2.6657,-74.1624
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-0.56944,-72.23333
"Psychotria","Psychotria carthagenensis","Psychotria ficigemma DC.",4.05,-52.7
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.39134,-57.34389
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.291667,-48.658611
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-15.239722,-44.242778
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-3.871111,-40.881667
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-12.4,-41.4
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-6.765556,-35.750556
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-9.081389,-70.073889
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-24.073889,-49.081389
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-14.016667,-39.016667
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-23.335556,-45.348611
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-14.288611,-39.286944
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-23.499444,-64.484722
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-15.993056,-38.997778
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-9.901389,-64.906667
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-15.5,-39.5
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-20.506389,-43.501667
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-13.309167,-44.309722
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-15.069722,-39.081111
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-14.166111,-39.15
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-29.759444,-54.763889
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-13.331944,-44.328889
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-19.923056,-40.107222
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-18.2625,-39.805
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-10.053611,-59.503333
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-10.052778,-59.502778
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-18.243611,-39.819167
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-12.303333,-37.983889
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-10.053333,-59.503333
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",38.083333,59.433611
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",48,26
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-26.906944,-49.054167
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-26.443056,-49.101111
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.154444,-53.845833
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-23.047778,-43.535
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.316667,-53.963889
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.3,-53.963056
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.369444,-53.893611
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-23.346111,-52.152222
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.310556,-53.955833
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.501667,-53.666389
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-24.256667,-51.656389
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.507222,-53.656944
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.296111,-54.369444
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-29.357806,-49.735417
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-30.050548,-51.17711
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.688387,-54.44635
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-28.149336,-48.668117
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",15.104106,-88.910224
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-4.033333,-40.85
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-19.575298,-57.018782
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-20.892047,-56.172562
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-26.301947,-52.84373
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-19.999132,-43.998915
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-22.90946,-43.130602
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-17.003056,-50.373889
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-26.28,-48.961944
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.66667,-54.450001
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-26.252208,-48.890907
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.619022,-54.488208
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-30.011328,-51.110116
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-23.181814,-44.268231
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-26.8245,-49.274794
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-20.346814,-49.253803
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-26.825717,-49.283608
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-23.74773,-64.851841
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-19.221419,-57.575692
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-2.366,-76.666
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-1.6,-75.666
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",22.719974,-82.290601
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-22.35972,-57.47611
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",17.63333,-92.5
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.63028,-54.81389
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.65,-54.6
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-26.39528,-57.12917
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",0.35,-79.73333
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-14.74361,-60.96083
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-15.83333,-61.43333
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-14.71417,-61.15833
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-4.85,-78.3
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-4.91667,-78.31667
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",8.16667,-81.5
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",9.25,-79.75
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",9.08333,-79.75
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-16.59611,-61.86611
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-10.75,-74.38333
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-25.61667,-57.4
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-0.23139,-78.80278
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",12.6,-86.46667
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",7.4,-80.45
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-17.56667,-63.24167
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-28.546292,-57.195647
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-28.546292,-57.195468
"Psychotria","Psychotria carthagenensis","Psychotria carthagenensis Jacq.",-26.816027,-48.650073
