"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",18.31566,-65.77072
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",18.28138,-65.78305
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",0.833,-79.583
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",13.75,-84.5
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",17.9,-96.3
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",15.43333,-90.26667
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.126432,-79.714642
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",8.68,-83.21
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.97,-83.45
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.29,-83.77
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.64,-82.86
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.58,-82.59
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.58,-83.52
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",11.12,-84.36
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",10.45,-84.5
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.75,-84.56
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",8.7,-83.52
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.6,-82.65
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.85,-85.33
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",8.71,-83.51
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",10.28,-84.04
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.72,-84.37
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",8.42,-83.31
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",8.69,-83.6
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.58,-85.1
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",10.86,-85.28
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",10.5,-83.53
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",10.53,-83.5
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.62,-82.82
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.65,-82.66
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",10.83,-83.61
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",10.51,-83.5
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.89,-83.65
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",10.36,-84.58
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.9,-83.65
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",10.48,-84.71
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",8.73912,-83.363474
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.588889,-82.594444
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",0.898222,-79.608583
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",10.955861,-85.296472
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",10.943222,-85.317639
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",10.965833,-85.321333
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",4.337016,-76.082606
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",4.104397,-76.244056
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",3.223743,-76.618734
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",18.180471,-67.109261
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",18.140491,-67.120345
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",9.1237,-79.7155
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",8.508469,-80.147468
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",20.01132,-75.62708
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",22.81602,-83.38553
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",22.313333,-79.455556
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",20.04613,-76.58831
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",21.95207,-80.01673
"Psychotria","Psychotria grandis","Psychotria grandis Sw.",23.090873,-82.139082
