"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-22.503056,-64.505556
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-20.495278,-43.822778
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-24.046282,-65.407398
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-23.684167,-64.899722
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-22.925807,-64.707114
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-27.22,-54.02
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-27.02,-54.27
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-23.7,-64.85
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-26.64,-53.96
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-26.863206,-65.431268
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-26.769434,-65.47108
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-26.769388,-65.471128
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-26.868927,-65.426602
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-19.659722,-64.518889
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-18.853889,-64.083056
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-29.285,-51.870556
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-27.796319,-65.78205
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-27.331966,-65.951488
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-23.682971,-64.901446
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-26.853147,-65.381625
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-27.332938,-65.940375
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-27.797067,-65.78119
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-27.791794,-65.785544
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-27.359163,-65.818774
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-29.137222,-52.298611
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-26.265,-49.335556
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-26.292778,-49.216667
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-27.026111,-49.127222
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-28.285278,-49.298889
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-28.598333,-49.424722
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-25.061111,-53.647222
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-26.7325,-50.047778
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-27.217222,-49.344444
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-26.321389,-49.216111
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-27.57375,-50.674847
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-25.7665,-52.0905
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-31.61,-64.675833
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-31.624444,-64.6725
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-27.539167,-51.792778
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-26.265,-49.335555
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-25.033889,-53.385
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-28.595833,-49.431667
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-28.391667,-49.395833
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-28.6725,-49.373333
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-11.816667,-40.75
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-22.366667,-64.483333
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-22.186944,-64.607778
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-19.814444,-63.719444
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-25.060972,-53.647194
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-29.369444,-49.849722
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-29.885741,-51.385669
"Rubus","Rubus imperialis","Rubus imperialis Cham. & Schltdl.",-24.122263,-55.44483
