"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Sambucus","Sambucus nigra","Sambucus nigra L.",47.186265,32.921479
"Sambucus","Sambucus nigra","Sambucus nigra L.",49.9251,3.36777
"Sambucus","Sambucus nigra","Sambucus nigra L.",49.09426,2.03493
"Sambucus","Sambucus nigra","Sambucus nigra var. nigra",42.7,-1.32
"Sambucus","Sambucus nigra","Sambucus nigra L.",46.1622,0.73182
"Sambucus","Sambucus nigra","Sambucus nigra L.",45.3011,1.85334
"Sambucus","Sambucus nigra","Sambucus nigra L.",45.60605,0.92267
"Sambucus","Sambucus nigra","Sambucus nigra L.",45.60624,0.90457
"Sambucus","Sambucus nigra","Sambucus nigra L.",45.92551,0.976
"Sambucus","Sambucus nigra","Sambucus nigra L.",45.93177,0.98185
"Sambucus","Sambucus nigra","Sambucus nigra L.",45.95464,1.00352
"Sambucus","Sambucus nigra","Sambucus nigra L.",45.95542,1.00492
"Sambucus","Sambucus nigra","Sambucus nigra L.",55.901732,9.84474
"Sambucus","Sambucus nigra","Sambucus nigra L.",52.607986,-2.144378
"Sambucus","Sambucus nigra","Sambucus nigra L.",44.431705,8.799588
"Sambucus","Sambucus nigra","Sambucus nigra L.",51.983669,0.052335
"Sambucus","Sambucus nigra","Sambucus nigra L.",55.649463,12.570734
"Sambucus","Sambucus nigra","Sambucus nigra L.",42.507084,-0.66689
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.440614,30.580789
"Sambucus","Sambucus nigra","Sambucus nigra L.",55.029615,-1.640388
"Sambucus","Sambucus nigra","Sambucus nigra L.",51.58156,0.634715
"Sambucus","Sambucus nigra","Sambucus nigra L.",55.830551,12.425688
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.461557,30.511928
"Sambucus","Sambucus nigra","Sambucus nigra L.",54.138968,-2.4962
"Sambucus","Sambucus nigra","Sambucus nigra L.",52.449733,13.229874
"Sambucus","Sambucus nigra","Sambucus nigra L.",54.958775,20.480633
"Sambucus","Sambucus nigra","Sambucus nigra L.",51.312753,12.358692
"Sambucus","Sambucus nigra","Sambucus nigra L.",42.16507,2.485922
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.854102,-2.039985
"Sambucus","Sambucus nigra","Sambucus nigra L.",52.193382,20.889233
"Sambucus","Sambucus nigra","Sambucus nigra L.",-43.781185,172.658203
"Sambucus","Sambucus nigra","Sambucus nigra L.",47.109356,15.485615
"Sambucus","Sambucus nigra","Sambucus nigra L.",48.841308,2.361212
"Sambucus","Sambucus nigra","Sambucus nigra L.",51.537386,-2.749827
"Sambucus","Sambucus nigra","Sambucus nigra L.",56.278821,9.398508
"Sambucus","Sambucus nigra","Sambucus nigra L.",53.965778,-0.982492
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.745945,3.68569
"Sambucus","Sambucus nigra","Sambucus nigra L.",51.928797,-8.569862
"Sambucus","Sambucus nigra","Sambucus nigra L.",47.840668,19.099683
"Sambucus","Sambucus nigra","Sambucus nigra L.",53.592604,-0.157231
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.5307,21.206193
"Sambucus","Sambucus nigra","Sambucus nigra L.",53.706403,-2.636295
"Sambucus","Sambucus nigra","Sambucus nigra L.",55.643334,12.557257
"Sambucus","Sambucus nigra","Sambucus nigra L.",55.784736,11.712874
"Sambucus","Sambucus nigra","Sambucus nigra L.",43.903136,42.717506
"Sambucus","Sambucus nigra","Sambucus nigra L.",46.52445,12.99836
"Sambucus","Sambucus nigra","Sambucus nigra L.",45.793129,8.931528
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.549823,30.166612
"Sambucus","Sambucus nigra","Sambucus nigra L.",40.426491,-3.729726
"Sambucus","Sambucus nigra","Sambucus nigra L.",51.56716,36.086472
"Sambucus","Sambucus nigra","Sambucus nigra L.",51.441241,12.360097
"Sambucus","Sambucus nigra","Sambucus nigra L.",45.268559,7.444882
"Sambucus","Sambucus nigra","Sambucus nigra L.",49.285212,38.897522
"Sambucus","Sambucus nigra","Sambucus nigra L.",39.296709,-7.428475
"Sambucus","Sambucus nigra","Sambucus nigra L.",53.353194,-2.733792
"Sambucus","Sambucus nigra","Sambucus nigra L.",49.432083,11.121306
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.095375,-5.277519
"Sambucus","Sambucus nigra","Sambucus nigra L.",51.020523,12.612167
"Sambucus","Sambucus nigra","Sambucus nigra L.",59.472912,18.107574
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.86559,24.312811
"Sambucus","Sambucus nigra","Sambucus nigra L.",41.785896,9.229486
"Sambucus","Sambucus nigra","Sambucus nigra L.",47.60981,21.361072
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.354092,-3.517322
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.856606,-0.025107
"Sambucus","Sambucus nigra","Sambucus nigra L.",49.412457,7.591251
"Sambucus","Sambucus nigra","Sambucus nigra L.",53.504619,-1.040882
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.029681,19.89753
"Sambucus","Sambucus nigra","Sambucus nigra L.",52.670124,16.462708
"Sambucus","Sambucus nigra","Sambucus nigra L.",53.499679,-2.787453
"Sambucus","Sambucus nigra","Sambucus nigra L.",47.622142,7.652062
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.498078,30.282745
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.862418,-0.972677
"Sambucus","Sambucus nigra","Sambucus nigra L.",51.568595,36.084415
"Sambucus","Sambucus nigra","Sambucus nigra L.",47.953782,18.778632
"Sambucus","Sambucus nigra","Sambucus nigra L.",54.143808,10.405645
"Sambucus","Sambucus nigra","Sambucus nigra L.",47.140008,15.381083
"Sambucus","Sambucus nigra","Sambucus nigra L.",48.561961,16.095903
"Sambucus","Sambucus nigra","Sambucus nigra L.",49.166654,14.782142
"Sambucus","Sambucus nigra","Sambucus nigra L.",47.708031,17.075864
"Sambucus","Sambucus nigra","Sambucus nigra L.",54.69095,20.466291
"Sambucus","Sambucus nigra","Sambucus nigra L.",52.266113,35.439788
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.432839,30.494033
"Sambucus","Sambucus nigra","Sambucus nigra L.",53.828433,-1.974042
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.871382,-1.04444
"Sambucus","Sambucus nigra","Sambucus nigra L.",55.070698,-1.590915
"Sambucus","Sambucus nigra","Sambucus nigra L.",53.443775,-2.629835
"Sambucus","Sambucus nigra","Sambucus nigra L.",49.795925,5.126858
"Sambucus","Sambucus nigra","Sambucus nigra L.",47.098655,15.391595
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.778572,-0.937181
"Sambucus","Sambucus nigra","Sambucus nigra L.",47.127924,15.371107
"Sambucus","Sambucus nigra","Sambucus nigra L.",44.667046,10.227765
"Sambucus","Sambucus nigra","Sambucus nigra L.",51.240303,6.775786
"Sambucus","Sambucus nigra","Sambucus nigra L.",50.763656,14.148137
"Sambucus","Sambucus nigra","Sambucus nigra L.",52.098246,11.676385
"Sambucus","Sambucus nigra","Sambucus nigra L.",48.907302,2.199241
"Sambucus","Sambucus nigra","Sambucus nigra L.",43.712583,10.511244
