"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Solanum","Solanum riparium","Solanum riparium Pers.",-5.122222,-78.960556
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.42,-65.08
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.77,-65.37
"Solanum","Solanum riparium","Solanum riparium Pers.",-23.63,-64.93
"Solanum","Solanum riparium","Solanum riparium Pers.",-23.47,-64.98
"Solanum","Solanum riparium","Solanum riparium Pers.",-24,-64.55
"Solanum","Solanum riparium","Solanum riparium Pers.",-17.47,-62.99
"Solanum","Solanum riparium","Solanum riparium Pers.",-17.49,-63.66
"Solanum","Solanum riparium","Solanum riparium Pers.",-18.15,-63.6
"Solanum","Solanum riparium","Solanum riparium Pers.",-12.45,-72.35
"Solanum","Solanum riparium","Solanum riparium Pers.",-6.78333,-76.45
"Solanum","Solanum riparium","Solanum riparium Pers.",-16.546389,-67.399722
"Solanum","Solanum riparium","Solanum riparium Pers.",-5.755556,-78.815
"Solanum","Solanum riparium","Solanum riparium Pers.",-11.136111,-75.355278
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.836391,-65.234187
"Solanum","Solanum riparium","Solanum riparium Pers.",-23.759729,-64.850479
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.715411,-65.258894
"Solanum","Solanum riparium","Solanum riparium Pers.",-17.808333,-65.293611
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.705373,-65.272591
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.700483,-65.270789
"Solanum","Solanum riparium","Solanum riparium Pers.",-23.619419,-64.950708
"Solanum","Solanum riparium","Solanum riparium Pers.",-28.824983,-66.30643
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.697249,-65.268046
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.711791,-65.28172
"Solanum","Solanum riparium","Solanum riparium Pers.",-24.848787,-65.452653
"Solanum","Solanum riparium","Solanum riparium Pers.",-3.9219,-79.5233
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.725866,-65.23647
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.719949,-65.240061
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.625452,-65.205019
"Solanum","Solanum riparium","Solanum riparium Pers.",-9.519722,-75.949167
"Solanum","Solanum riparium","Solanum riparium Pers.",-6.331389,-77.927778
"Solanum","Solanum riparium","Solanum riparium Pers.",-13.264722,-72.638889
"Solanum","Solanum riparium","Solanum riparium Pers.",-6.106667,-77.892778
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.788056,-65.359167
"Solanum","Solanum riparium","Solanum riparium Pers.",-27.479167,-65.625
"Solanum","Solanum riparium","Solanum riparium Pers.",-24.699722,-65.41
"Solanum","Solanum riparium","Solanum riparium Pers.",-23.565833,-64.722222
"Solanum","Solanum riparium","Solanum riparium Pers.",-22.520278,-63.814167
"Solanum","Solanum riparium","Solanum riparium Pers.",-23.545,-64.975556
"Solanum","Solanum riparium","Solanum riparium Pers.",-28.065603,-65.614063
"Solanum","Solanum riparium","Solanum riparium Pers.",-18.09167,-63.91667
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.803467,-65.320203
"Solanum","Solanum riparium","Solanum riparium Pers.",-28.06,-65.68
"Solanum","Solanum riparium","Solanum riparium Pers.",-24.32,-64.52
"Solanum","Solanum riparium","Solanum riparium Pers.",-23.92,-65.8
"Solanum","Solanum riparium","Solanum riparium Pers.",-23.78,-64.77
"Solanum","Solanum riparium","Solanum riparium Pers.",-23.95,-64.78
"Solanum","Solanum riparium","Solanum riparium Pers.",-24.13,-65.28
"Solanum","Solanum riparium","Solanum riparium Pers.",-22.72,-64.12
"Solanum","Solanum riparium","Solanum riparium Pers.",-27.53,-66.35
"Solanum","Solanum riparium","Solanum riparium Pers.",-23.98,-64.3
"Solanum","Solanum riparium","Solanum riparium Pers.",-24.55,-65.22
"Solanum","Solanum riparium","Solanum riparium Pers.",-23.7,-64.85
"Solanum","Solanum riparium","Solanum riparium Pers.",-23.07,-64.6
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.78,-65.35
"Solanum","Solanum riparium","Solanum riparium Pers.",-23.07,-64.55
"Solanum","Solanum riparium","Solanum riparium Pers.",-19.79,-63.09
"Solanum","Solanum riparium","Solanum riparium Pers.",-22.731191,-64.359315
"Solanum","Solanum riparium","Solanum riparium Pers.",-9.966667,-67.8
"Solanum","Solanum riparium","Solanum riparium Pers.",-18.628611,-64.013333
"Solanum","Solanum riparium","Solanum riparium Pers.",-17.899167,-64.555
"Solanum","Solanum riparium","Solanum riparium Pers.",-24.175151,-65.290732
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.803907,-65.319554
"Solanum","Solanum riparium","Solanum riparium Pers.",-26.804067,-65.319949
"Solanum","Solanum riparium","Solanum riparium Pers.",-23.428659,-64.938883
"Solanum","Solanum riparium","Solanum riparium Pers.",-4.0667,-79.0833
"Solanum","Solanum riparium","Solanum riparium Pers.",-24.053333,-54.301111
"Solanum","Solanum riparium","Solanum riparium Pers.",-15.461389,-67.4775
"Solanum","Solanum riparium","Solanum riparium Pers.",-12.64027,-72.34027
"Solanum","Solanum riparium","Solanum riparium Pers.",-18.86666,-63.95
"Solanum","Solanum riparium","Solanum riparium Pers.",-18.81666,-63.33333
"Solanum","Solanum riparium","Solanum riparium Pers.",-17.76666,-63.06666
"Solanum","Solanum riparium","Solanum riparium Pers.",-14.293055,-68.543889
"Solanum","Solanum riparium","Solanum riparium Pers.",-14.164306,-68.735055
"Solanum","Solanum riparium","Solanum riparium Pers.",-14.2525,-68.521389
"Solanum","Solanum riparium","Solanum riparium Pers.",-10.55388,-75.42638
"Solanum","Solanum riparium","Solanum riparium Pers.",-10.18333,-75.57416
"Solanum","Solanum riparium","Solanum riparium Pers.",-19.077556,-64.09175
"Solanum","Solanum riparium","Solanum riparium Pers.",-19.603889,-64.474722
"Solanum","Solanum riparium","Solanum riparium Pers.",-13.15055,-72.50777
"Solanum","Solanum riparium","Solanum riparium Pers.",-12.3,-72.3
"Solanum","Solanum riparium","Solanum riparium Pers.",-12.628056,-72.3825
"Solanum","Solanum riparium","Solanum riparium Pers.",-17.78333,-63.21666
"Solanum","Solanum riparium","Solanum riparium Pers.",-18,-64.5
"Solanum","Solanum riparium","Solanum riparium Pers.",-16.58333,-62.43333
"Solanum","Solanum riparium","Solanum riparium Pers.",-18.15,-63.51666
"Solanum","Solanum riparium","Solanum riparium Pers.",-17.93333,-63.1
"Solanum","Solanum riparium","Solanum riparium Pers.",-16.225,-67.78333
"Solanum","Solanum riparium","Solanum riparium Pers.",-18.13333,-63.8
"Solanum","Solanum riparium","Solanum riparium Pers.",-12.77333,-72.61722
"Solanum","Solanum riparium","Solanum riparium Pers.",-14.66666,-67.5
"Solanum","Solanum riparium","Solanum riparium Pers.",-20.1,-63.87222
"Solanum","Solanum riparium","Solanum riparium Pers.",-20.883333,-64.25
"Solanum","Solanum riparium","Solanum riparium Pers.",-12.64888,-72.92361
"Solanum","Solanum riparium","Solanum riparium Pers.",-10.53333,-75.43333
"Solanum","Solanum riparium","Solanum riparium Pers.",-18.48333,-64.11666
"Solanum","Solanum riparium","Solanum riparium Pers.",-10.25,-75.21666
"Solanum","Solanum riparium","Solanum riparium Pers.",-16.36666,-67.55
"Solanum","Solanum riparium","Solanum riparium Pers.",-17.51666,-63.68333
"Solanum","Solanum riparium","Solanum riparium Pers.",-17.58333,-63.61666
"Solanum","Solanum riparium","Solanum riparium Pers.",-17.08333,-63.18333
"Solanum","Solanum riparium","Solanum riparium Pers.",-19.623611,-64.4425
"Solanum","Solanum riparium","Solanum riparium Pers.",-19.711389,-64.476944
"Solanum","Solanum riparium","Solanum riparium Pers.",-14.58333,-66.58333
"Solanum","Solanum riparium","Solanum riparium Pers.",-21.073889,-64.352583
"Solanum","Solanum riparium","Solanum riparium Pers.",-19.528889,-63.763694
"Solanum","Solanum riparium","Solanum riparium Pers.",-12.905,-72.78027
"Solanum","Solanum riparium","Solanum riparium Pers.",-10.184444,-75.575556
"Solanum","Solanum riparium","Solanum riparium Pers.",-12.77694,-72.61083
"Solanum","Solanum riparium","Solanum riparium Pers.",-12.62194,-72.82416
"Solanum","Solanum riparium","Solanum riparium Pers.",-17.903056,-63.437222
"Solanum","Solanum riparium","Solanum riparium Pers.",-10.58166,-75.40722
"Solanum","Solanum riparium","Solanum riparium Pers.",-17.315,-62.404444
"Solanum","Solanum riparium","Solanum riparium Pers.",-21.11027,-64.24027
"Solanum","Solanum riparium","Solanum riparium Pers.",-21.04,-64.21888
"Solanum","Solanum riparium","Solanum riparium Pers.",-12.45138,-72.95416
"Solanum","Solanum riparium","Solanum riparium Pers.",-10.170833,-75.568611
"Solanum","Solanum riparium","Solanum riparium Pers.",-19.748333,-64.491389
"Solanum","Solanum riparium","Solanum riparium Pers.",-19.08194,-64.17555
"Solanum","Solanum riparium","Solanum riparium Pers.",-19.81444,-63.71944
"Solanum","Solanum riparium","Solanum riparium Pers.",-21.08055,-64.33833
"Solanum","Solanum riparium","Solanum riparium Pers.",-19.87972,-63.73777
"Solanum","Solanum riparium","Solanum riparium Pers.",-19.003611,-63.704722
"Solanum","Solanum riparium","Solanum riparium Pers.",-18.09666,-63.5
"Solanum","Solanum riparium","Solanum riparium Pers.",-10.224167,-75.581944
"Solanum","Solanum riparium","Solanum riparium Pers.",-10.06722,-75.54972
"Solanum","Solanum riparium","Solanum riparium Pers.",-10.40222,-75.48861
"Solanum","Solanum riparium","Solanum riparium Pers.",-12.91305,-72.165
"Solanum","Solanum riparium","Solanum riparium Pers.",-17.486667,-63.655833
"Solanum","Solanum riparium","Solanum riparium Pers.",-21.06694,-64.25333
"Solanum","Solanum riparium","Solanum riparium Pers.",-17.47027,-62.99277
"Solanum","Solanum riparium","Solanum riparium Pers.",-15.83333,-61.75
"Solanum","Solanum riparium","Solanum riparium Pers.",-15.55,-67.283333
"Solanum","Solanum riparium","Solanum riparium Pers.",-17.78333,-63.2
