"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Trema","Trema micranthum","Trema micranthum (L.) Blume",1.15,-77.983333
"Trema","Trema micranthum","Trema micranthum (L.) Blume",3.942444,-76.201278
"Trema","Trema micranthum","Trema micranthum (L.) Blume",-22.933334,-43.233333
"Trema","Trema micranthum","Trema micranthum (L.) Blume",-15.85,-52.25
"Trema","Trema micranthum","Trema micranthum (L.) Blume",5.559722,-74.871944
"Trema","Trema micranthum","Trema micranthum (L.) Blume",6.351847,-75.540579
"Trema","Trema micranthum","Trema micranthum (L.) Blume",-5.419222,-78.570056
"Trema","Trema micranthum","Trema micranthum (L.) Blume",-12.57,-70.1
"Trema","Trema micranthum","Trema micranthum (L.) Blume",3.616676,-76.18322
"Trema","Trema micranthum","Trema micranthum (L.) Blume",3.609371,-76.146499
"Trema","Trema micranthum","Trema micranthum (L.) Blume",3.614233,-76.123292
"Trema","Trema micranthum","Trema micranthum (L.) Blume",3.602008,-76.173318
"Trema","Trema micranthum","Trema micranthum (L.) Blume",7.15295,-73.8556
"Trema","Trema micranthum","Trema micranthum (L.) Blume",4.721111,-76.213417
"Trema","Trema micranthum","Trema micranthum (L.) Blume",4.725667,-76.106361
"Trema","Trema micranthum","Trema micranthum (L.) Blume",4.745444,-76.138333
"Trema","Trema micranthum","Trema micranthum (L.) Blume",4.608472,-75.729833
"Trema","Trema micranthum","Trema micranthum (L.) Blume",4.576444,-75.712722
"Trema","Trema micranthum","Trema micranthum (L.) Blume",4.574222,-75.724861
"Trema","Trema micranthum","Trema micranthum (L.) Blume",1.654028,-77.0325
"Trema","Trema micranthum","Trema micranthum (L.) Blume",1.6145,-75.70875
"Trema","Trema micranthum","Trema micranthum (L.) Blume",1.256667,-74.813889
"Trema","Trema micranthum","Trema micranthum (L.) Blume",2.877667,-73.37025
"Trema","Trema micranthum","Trema micranthum (L.) Blume",2.568917,-72.539194
"Trema","Trema micranthum","Trema micranthum (L.) Blume",5.338972,-67.853639
"Trema","Trema micranthum","Trema micranthum (L.) Blume",2.25444,-73.76806
"Trema","Trema micranthum","Trema micranthum (L.) Blume",1.1635,-76.63556
"Trema","Trema micranthum","Trema micranthum (L.) Blume",2.6667,-74.16667
"Trema","Trema micranthum","Trema micranthum (L.) Blume",1.93139,-72.61
"Trema","Trema micranthum","Trema micranthum (L.) Blume",1.045,-76.614
"Trema","Trema micranthum","Trema micranthum (L.) Blume",6.93333,-71.16667
