"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",3.97525,-76.183611
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich. ex Wedd.",3.483333,-61.766667
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich. ex Wedd.",-9.606944,-55.945555
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich. ex Wedd.",-5.133333,-78.916667
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",-27.02,-54.27
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",-28.36,-58.03
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",-24.9,-65.24
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",4.745167,-76.138583
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",4.891556,-76.023278
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",4.776528,-76.111278
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",4.576444,-75.712722
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich. ex Wedd.",2.916361,-73.406722
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich. ex Wedd.",1.718042,-75.634067
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich. ex Wedd.",3.45639,-74.14389
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich. ex Wedd.",2.58333,-74.33333
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich. ex Wedd.",1.16625,-76.63056
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich. ex Wedd.",2.441,-72.592
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich. ex Wedd.",2.26667,-71.76667
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich. ex Wedd.",-1.09437,-71.07941
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich. ex Wedd.",3.6,-56.5
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",4.654444,-75.679167
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",4.602033,-75.779783
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",4.604833,-75.782383
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",4.60205,-75.778833
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",4.604833,-75.7822
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",4.6075,-75.690556
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",4.604444,-75.689444
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",4.605833,-75.689444
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich.",4.603611,-75.691389
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich. ex Wedd.",4.744472,-76.135472
"Urera","Urera baccifera","Urera baccifera (L.) Gaudich. ex Wedd.",4.723,-76.105639
