"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-26.15,-58.8
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-25.99,-58.17
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-24.11,-65.41
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-24.44,-65.15
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-23.64,-64.47
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-24.03,-64.42
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-25.71,-64.92
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-28.76,-56.95
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-25.11,-65.59
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-22.22,-63.9
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-26.248056,-52.428889
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-25.471389,-54.563611
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-24.730679,-65.503086
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-28.076732,-65.58074
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-28.679809,-66.069654
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-26.443202,-54.142072
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-26.620413,-65.186702
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-26.620409,-65.18671
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-24.698333,-51.523056
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-26.698771,-60.563436
"Vassobia","Vassobia breviflora","Vassobia breviflora (Sendtn.) Hunz.",-26.620413,-65.186983
