"sp"	"x"	"y"
"1"	"Ramphastos dicolorus"	-47.974033	-24.141417
"2"	"Ramphastos dicolorus"	-48.406944	-24.265278
"3"	"Ramphastos dicolorus"	-46.633309	-23.55052
"4"	"Ramphastos dicolorus"	-46.633309	-23.55052
"5"	"Ramphastos dicolorus"	-45.424145	-23.62559
"6"	"Ramphastos dicolorus"	-46.564848	-23.689843
"7"	"Ramphastos dicolorus"	-48.781786	-27.685684
"8"	"Ramphastos dicolorus"	-46.633309	-23.55052
"9"	"Ramphastos dicolorus"	-46.633309	-23.55052
"10"	"Ramphastos dicolorus"	-46.633309	-23.55052
"11"	"Ramphastos dicolorus"	-49.26952	-26.825137
"12"	"Ramphastos dicolorus"	-46.633309	-23.55052
"13"	"Ramphastos dicolorus"	-45.355663	-23.779034
"14"	"Ramphastos dicolorus"	-46.564848	-23.689843
"15"	"Ramphastos dicolorus"	-46.185867	-23.521338
"16"	"Ramphastos dicolorus"	-46.633309	-23.55052
"17"	"Ramphastos dicolorus"	-45.424145	-23.62559
"18"	"Ramphastos dicolorus"	-45.424145	-23.62559
"19"	"Ramphastos dicolorus"	-45.424145	-23.62559
"20"	"Ramphastos dicolorus"	-45.424145	-23.62559
"21"	"Ramphastos dicolorus"	-45.185851	-22.606882
"22"	"Ramphastos dicolorus"	-48.846383	-26.304408
"23"	"Ramphastos dicolorus"	-48.597586	-24.585208
"24"	"Ramphastos dicolorus"	-48.27359	-24.308775
"25"	"Ramphastos dicolorus"	-50.618019	-24.325159
"26"	"Ramphastos dicolorus"	-47.858	-25.1219
"27"	"Ramphastos dicolorus"	-49.977714	-27.099811
"28"	"Ramphastos dicolorus"	-49.977714	-27.099811
"29"	"Ramphastos dicolorus"	-44.567911	-22.490203
"30"	"Ramphastos dicolorus"	-47.858	-25.1219
"31"	"Ramphastos dicolorus"	-48.670951	-26.910596
"32"	"Ramphastos dicolorus"	-46.633309	-23.55052
"33"	"Ramphastos dicolorus"	-48.406944	-24.265278
"34"	"Ramphastos dicolorus"	-47.858	-25.1219
"35"	"Ramphastos dicolorus"	-51.081627	-29.538434
"36"	"Ramphastos dicolorus"	-49.268066	-26.195522
"37"	"Ramphastos dicolorus"	-43.177914	-22.511264
"38"	"Ramphastos dicolorus"	-50.876435	-29.374569
"39"	"Ramphastos dicolorus"	-51.081627	-29.538434
"40"	"Ramphastos dicolorus"	-52.302854	-28.128461
"41"	"Ramphastos dicolorus"	-44.567911	-22.490203
"42"	"Ramphastos dicolorus"	-52.671136	-26.22972
"43"	"Ramphastos dicolorus"	-52.302854	-28.128461
"44"	"Ramphastos dicolorus"	-50.650946	-25.47003
"45"	"Ramphastos dicolorus"	-47.071492	-23.928915
"46"	"Ramphastos dicolorus"	-53.58612	-29.644883
"47"	"Ramphastos dicolorus"	-44.567911	-22.490203
"48"	"Ramphastos dicolorus"	-51.775227	-27.419766
"49"	"Ramphastos dicolorus"	-46.185867	-23.521338
"50"	"Ramphastos dicolorus"	-43.177914	-22.511264
"51"	"Ramphastos dicolorus"	-50.326356	-27.815463
"52"	"Ramphastos dicolorus"	-46.185867	-23.521338
"53"	"Ramphastos dicolorus"	-50.876435	-29.374569
"54"	"Ramphastos dicolorus"	-46.633309	-23.55052
"55"	"Ramphastos dicolorus"	-49.07678	-25.367809
"56"	"Ramphastos dicolorus"	-45.846976	-23.530015
"57"	"Ramphastos dicolorus"	-52.273736	-27.634908
"58"	"Ramphastos dicolorus"	-46.633309	-23.55052
"59"	"Ramphastos dicolorus"	-46.185867	-23.521338
"60"	"Ramphastos dicolorus"	-48.324286	-10.249091
"61"	"Ramphastos dicolorus"	-46.633309	-23.55052
"62"	"Ramphastos dicolorus"	-46.412462	-24.008842
"63"	"Ramphastos dicolorus"	-46.412462	-24.008842
"64"	"Ramphastos dicolorus"	-46.633309	-23.55052
"65"	"Ramphastos dicolorus"	-46.740187	-23.36122
"66"	"Ramphastos dicolorus"	-49.742211	-27.20531
"67"	"Ramphastos dicolorus"	-46.633309	-23.55052
"68"	"Ramphastos dicolorus"	-45.443921	-23.379165
"69"	"Ramphastos dicolorus"	-49.930597	-27.257234
"70"	"Ramphastos dicolorus"	-46.412462	-24.008842
"71"	"Ramphastos dicolorus"	-47.974033	-24.141417
"72"	"Ramphastos dicolorus"	-47.974033	-24.141417
"73"	"Ramphastos dicolorus"	-48.829071	-25.482748
"74"	"Ramphastos dicolorus"	-48.669404	-27.644998
"75"	"Ramphastos dicolorus"	-45.355663	-23.779034
"76"	"Ramphastos dicolorus"	-52.409625	-28.258055
"77"	"Ramphastos dicolorus"	-45.846976	-23.530015
"78"	"Ramphastos dicolorus"	-47.961431	-25.132815
"79"	"Ramphastos dicolorus"	-48.27359	-24.308775
"80"	"Ramphastos dicolorus"	-47.974033	-24.141417
"81"	"Ramphastos dicolorus"	-44.451335	-22.470966
"82"	"Ramphastos dicolorus"	-44.567911	-22.490203
"83"	"Ramphastos dicolorus"	-47.001656	-24.313115
"84"	"Ramphastos dicolorus"	-46.633309	-23.55052
"85"	"Ramphastos dicolorus"	-46.633309	-23.55052
"86"	"Ramphastos dicolorus"	-45.401653	-23.806347
"87"	"Ramphastos dicolorus"	-44.451335	-22.470966
"88"	"Ramphastos dicolorus"	-46.852186	-23.651509
"89"	"Ramphastos dicolorus"	-45.708082	-23.099697
"90"	"Ramphastos dicolorus"	-48.597586	-24.585208
"91"	"Ramphastos dicolorus"	-48.916775	-27.28364
"92"	"Ramphastos dicolorus"	-48.658918	-26.07991
"93"	"Ramphastos dicolorus"	-46.739549	-21.661612
"94"	"Ramphastos dicolorus"	-46.590279	-23.319505
"95"	"Ramphastos dicolorus"	-47.507167	-23.963247
"96"	"Ramphastos dicolorus"	-47.507167	-23.963247
"97"	"Ramphastos dicolorus"	-47.507167	-23.963247
"98"	"Ramphastos dicolorus"	-49.178752	-25.925667
"99"	"Ramphastos dicolorus"	-43.791995	-21.839859
"100"	"Ramphastos dicolorus"	-48.375118	-24.109957
"101"	"Ramphastos dicolorus"	-46.624685	-23.728256
"102"	"Ramphastos dicolorus"	-46.633309	-23.55052
"103"	"Ramphastos dicolorus"	-48.658918	-26.07991
"104"	"Ramphastos dicolorus"	-47.401344	-20.539329
"105"	"Ramphastos dicolorus"	-47.071492	-23.928915
"106"	"Ramphastos dicolorus"	-46.633309	-23.55052
"107"	"Ramphastos dicolorus"	-49.178752	-25.925667
"108"	"Ramphastos dicolorus"	-44.567911	-22.490203
"109"	"Ramphastos dicolorus"	-45.401653	-23.806347
"110"	"Ramphastos dicolorus"	-47.994008	-23.878686
"111"	"Ramphastos dicolorus"	-48.54822	-27.59487
"112"	"Ramphastos dicolorus"	-46.33894	-22.029678
"113"	"Ramphastos dicolorus"	-48.547366	-27.159071
"114"	"Ramphastos dicolorus"	-49.345011	-26.433418
"115"	"Ramphastos dicolorus"	-47.462913	-24.277132
"116"	"Ramphastos dicolorus"	-46.624685	-23.728256
"117"	"Ramphastos dicolorus"	-47.071492	-23.928915
"118"	"Ramphastos dicolorus"	-49.321564	-28.525648
"119"	"Ramphastos dicolorus"	-48.781786	-27.685684
"120"	"Ramphastos dicolorus"	-48.597586	-24.585208
"121"	"Ramphastos dicolorus"	-44.394713	-22.167531
"122"	"Ramphastos dicolorus"	-51.184849	-29.65404
"123"	"Ramphastos dicolorus"	-45.401653	-23.806347
"124"	"Ramphastos dicolorus"	-46.624685	-23.728256
"125"	"Ramphastos dicolorus"	-47.001656	-24.313115
"126"	"Ramphastos dicolorus"	-49.321564	-28.525648
"127"	"Ramphastos dicolorus"	-47.001656	-24.313115
"128"	"Ramphastos dicolorus"	-48.597586	-24.585208
"129"	"Ramphastos dicolorus"	-46.633309	-23.55052
"130"	"Ramphastos dicolorus"	-47.974033	-24.141417
"131"	"Ramphastos dicolorus"	-47.858	-25.1219
"132"	"Ramphastos dicolorus"	-47.974033	-24.141417
"133"	"Ramphastos dicolorus"	-48.406944	-24.265278
"134"	"Ramphastos dicolorus"	-47.974033	-24.141417
"135"	"Ramphastos dicolorus"	-49.26952	-26.825137
"136"	"Ramphastos dicolorus"	-45.662745	-23.390199
"137"	"Ramphastos dicolorus"	-51.890148	-28.847881
"138"	"Ramphastos dicolorus"	-45.662745	-23.390199
"139"	"Ramphastos dicolorus"	-48.406944	-24.265278
"140"	"Ramphastos dicolorus"	-46.640706	-23.52567
"141"	"Ramphastos dicolorus"	-50.546086	-25.41123
"142"	"Ramphastos dicolorus"	-50.326356	-27.815463
"143"	"Ramphastos dicolorus"	-48.781786	-27.685684
"144"	"Ramphastos dicolorus"	-46.680192	-24.107525
"145"	"Ramphastos dicolorus"	-46.680192	-24.107525
"146"	"Ramphastos dicolorus"	-46.739549	-21.661612
"147"	"Ramphastos dicolorus"	-48.781786	-27.685684
"148"	"Ramphastos dicolorus"	-46.543599	-23.674222
"149"	"Ramphastos dicolorus"	-46.543599	-23.674222
"150"	"Ramphastos dicolorus"	-48.557126	-27.315932
"151"	"Ramphastos dicolorus"	-48.781786	-27.685684
"152"	"Ramphastos dicolorus"	-48.781786	-27.685684
"153"	"Ramphastos dicolorus"	-43.177914	-22.511264
"154"	"Ramphastos dicolorus"	-48.375118	-24.109957
