"species"	"decimalLongitude"	"decimalLatitude"
"1"	"Ramphastos dicolorus"	-53.981667	-26.520718
"2"	"Ramphastos dicolorus"	-54.039333	-27.022333
"3"	"Ramphastos dicolorus"	-53.8405	-26.425583
"4"	"Ramphastos dicolorus"	-53.981667	-26.520718
"5"	"Ramphastos dicolorus"	-48.2985	-24.312246
"6"	"Ramphastos dicolorus"	-54.44571	-25.700474
"7"	"Ramphastos dicolorus"	-47.977295	-24.136728
"8"	"Ramphastos dicolorus"	-48.2985	-24.312246
"9"	"Ramphastos dicolorus"	-54.455452	-25.683304
"10"	"Ramphastos dicolorus"	-44.61104	-22.444906
"11"	"Ramphastos dicolorus"	-41.29589	-20.274435
"12"	"Ramphastos dicolorus"	-44.571217	-22.48401
"13"	"Ramphastos dicolorus"	-44.624233	-22.406586
"14"	"Ramphastos dicolorus"	-44.61104	-22.444906
"15"	"Ramphastos dicolorus"	-40.089455	-19.016682
"16"	"Ramphastos dicolorus"	-54.446205	-25.68079
"17"	"Ramphastos dicolorus"	-44.624233	-22.406586
"18"	"Ramphastos dicolorus"	-44.624233	-22.406586
"19"	"Ramphastos dicolorus"	-54.438286	-25.642454
"20"	"Ramphastos dicolorus"	-45.083	-23.425764
"21"	"Ramphastos dicolorus"	-44.606487	-22.440939
"22"	"Ramphastos dicolorus"	-44.624233	-22.406586
"23"	"Ramphastos dicolorus"	-48.534115	-27.705244
"24"	"Ramphastos dicolorus"	-54.438286	-25.642454
"25"	"Ramphastos dicolorus"	-54.06871	-25.585752
"26"	"Ramphastos dicolorus"	-54.06871	-25.585752
"27"	"Ramphastos dicolorus"	-54.168785	-25.857317
"28"	"Ramphastos dicolorus"	-54.455452	-25.683304
"29"	"Ramphastos dicolorus"	-54.455452	-25.683304
"30"	"Ramphastos dicolorus"	-44.604916	-22.383663
"31"	"Ramphastos dicolorus"	-54.455452	-25.683304
"32"	"Ramphastos dicolorus"	-53.981667	-26.520718
"33"	"Ramphastos dicolorus"	-53.981667	-26.520718
"34"	"Ramphastos dicolorus"	-53.981667	-26.520718
"35"	"Ramphastos dicolorus"	-54.168785	-25.857317
"36"	"Ramphastos dicolorus"	-54.455452	-25.683304
"37"	"Ramphastos dicolorus"	-54.455452	-25.683304
"38"	"Ramphastos dicolorus"	-54.455452	-25.683304
"39"	"Ramphastos dicolorus"	-54.168785	-25.857317
"40"	"Ramphastos dicolorus"	-54.168785	-25.857317
"41"	"Ramphastos dicolorus"	-54.168785	-25.857317
"42"	"Ramphastos dicolorus"	-54.04291	-25.672152
"43"	"Ramphastos dicolorus"	-54.04291	-25.672152
"44"	"Ramphastos dicolorus"	-54.04291	-25.672152
"45"	"Ramphastos dicolorus"	-54.04291	-25.672152
"46"	"Ramphastos dicolorus"	-54.2171	-26.86841
"47"	"Ramphastos dicolorus"	-53.92296	-26.486103
"48"	"Ramphastos dicolorus"	-54.2171	-26.86841
"49"	"Ramphastos dicolorus"	-44.756813	-22.373522
"50"	"Ramphastos dicolorus"	-54.2645	-26.689777
"51"	"Ramphastos dicolorus"	-54.2171	-26.86841
"52"	"Ramphastos dicolorus"	-45.064102	-23.397234
"53"	"Ramphastos dicolorus"	-54.2645	-26.689777
"54"	"Ramphastos dicolorus"	-54.2645	-26.689777
"55"	"Ramphastos dicolorus"	-54.2171	-26.86841
"56"	"Ramphastos dicolorus"	-54.455452	-25.683304
"57"	"Ramphastos dicolorus"	-54.827625	-27.058887
"58"	"Ramphastos dicolorus"	-54.455452	-25.683304
"59"	"Ramphastos dicolorus"	-54.455452	-25.683304
"60"	"Ramphastos dicolorus"	-54.455452	-25.683304
"61"	"Ramphastos dicolorus"	-54.168785	-25.857317
"62"	"Ramphastos dicolorus"	-54.168785	-25.857317
"63"	"Ramphastos dicolorus"	-54.455452	-25.683304
"64"	"Ramphastos dicolorus"	-54.455452	-25.683304
"65"	"Ramphastos dicolorus"	-45.91736	-23.112576
"66"	"Ramphastos dicolorus"	-46.6422	-23.43104
"67"	"Ramphastos dicolorus"	-54.438286	-25.642454
"68"	"Ramphastos dicolorus"	-53.89927	-27.150505
"69"	"Ramphastos dicolorus"	-51.250576	-23.44679
"70"	"Ramphastos dicolorus"	-53.89927	-27.150505
"71"	"Ramphastos dicolorus"	-54.827625	-27.058887
"72"	"Ramphastos dicolorus"	-54.168785	-25.857317
