"","speciesPair","pos","tot","neg","prop","Animal_Species","Plant_Species","interaction","Latitude","Longitude","nplants","nAnimals","type","size","aSuit","pSuit"
"1","Anthornis melanura-Coprosma grandifolia",8,9,1,0.888888888888889,"Anthornis melanura","Coprosma grandifolia",1,-41.3,174.75,18,8,"Frugivory",26,0.704080522060394,0.793015837669373
"2","Anthornis melanura-Coprosma grandifolia",8,9,1,0.888888888888889,"Anthornis melanura","Coprosma grandifolia",1,-42.34833,173.5667,7,5,"Frugivory",12,0.788656890392303,0.43388444185257
"3","Anthornis melanura-Coprosma grandifolia",8,9,1,0.888888888888889,"Anthornis melanura","Coprosma grandifolia",1,-42.32917,173.6344,10,5,"Frugivory",15,0.600008606910706,0.645773649215698
"4","Anthornis melanura-Coprosma grandifolia",8,9,1,0.888888888888889,"Anthornis melanura","Coprosma grandifolia",0,-42.27583,173.7381,16,7,"Frugivory",23,0.826701402664185,0.532673835754395
"5","Anthornis melanura-Coprosma grandifolia",8,9,1,0.888888888888889,"Anthornis melanura","Coprosma grandifolia",1,-42.23611,173.7856,11,5,"Frugivory",16,0.750823855400085,0.414396464824677
"6","Anthornis melanura-Coprosma grandifolia",8,9,1,0.888888888888889,"Anthornis melanura","Coprosma grandifolia",1,-42.377,173.616,14,6,"Frugivory",20,0.609184384346008,0.55719119310379
"7","Anthornis melanura-Coprosma grandifolia",8,9,1,0.888888888888889,"Anthornis melanura","Coprosma grandifolia",1,-41.333,173.054,12,5,"Frugivory",17,0.617576718330383,0.549526333808899
"8","Anthornis melanura-Coprosma grandifolia",8,9,1,0.888888888888889,"Anthornis melanura","Coprosma grandifolia",1,-41.312,173.266,21,6,"Frugivory",27,0.750823855400085,0.414396464824677
"9","Anthornis melanura-Coprosma grandifolia",8,9,1,0.888888888888889,"Anthornis melanura","Coprosma grandifolia",1,-42.38333,173.6,21,7,"Frugivory",28,0.755792081356049,0.555514693260193
"10","Anthornis melanura-Coprosma robusta",7,9,2,0.777777777777778,"Anthornis melanura","Coprosma robusta",1,-41.3,174.75,18,8,"Frugivory",26,0.704080522060394,0.712397634983063
"11","Anthornis melanura-Coprosma robusta",7,9,2,0.777777777777778,"Anthornis melanura","Coprosma robusta",0,-42.34833,173.5667,7,5,"Frugivory",12,0.600008606910706,0.686699330806732
"12","Anthornis melanura-Coprosma robusta",7,9,2,0.777777777777778,"Anthornis melanura","Coprosma robusta",1,-42.32917,173.6344,10,5,"Frugivory",15,0.755792081356049,0.639647483825684
"13","Anthornis melanura-Coprosma robusta",7,9,2,0.777777777777778,"Anthornis melanura","Coprosma robusta",1,-42.27583,173.7381,16,7,"Frugivory",23,0.750823855400085,0.543119251728058
"14","Anthornis melanura-Coprosma robusta",7,9,2,0.777777777777778,"Anthornis melanura","Coprosma robusta",0,-42.23611,173.7856,11,5,"Frugivory",16,0.609184384346008,0.628030121326447
"15","Anthornis melanura-Coprosma robusta",7,9,2,0.777777777777778,"Anthornis melanura","Coprosma robusta",1,-42.377,173.616,14,6,"Frugivory",20,0.617576718330383,0.5893634557724
"16","Anthornis melanura-Coprosma robusta",7,9,2,0.777777777777778,"Anthornis melanura","Coprosma robusta",1,-41.333,173.054,12,5,"Frugivory",17,0.750823855400085,0.543119251728058
